（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"1,108,206",95.8%,"5,916,172",94.3%,100.0%
1,中国,"286,817",78.1%,"1,535,743",89.3%,26.0%
,(香港),"37,201",86.1%,"206,683",87.2%,3.5%
2,アメリカ,"278,502",112.6%,"1,500,898",112.0%,25.4%
3,タイ,"82,332",92.5%,"412,795",84.0%,7.0%
4,ベトナム,"71,671",158.3%,"317,705",104.8%,5.4%
5,台湾,"56,329",105.9%,"274,657",85.2%,4.6%
6,オランダ,"38,873",99.2%,"237,619",89.6%,4.0%
7,韓国,"41,395",91.7%,"225,299",90.8%,3.8%
8,マレーシア,"37,666",74.6%,"215,030",82.8%,3.6%
9,インドネシア,"37,590",98.6%,"188,791",92.9%,3.2%
10,インド,"24,932",110.6%,"177,661",111.1%,3.0%
11,ドイツ,"20,545",87.3%,"119,078",104.4%,2.0%
12,フィリピン,"20,457",92.6%,"109,041",87.1%,1.8%
13,シンガポール,"20,354",93.4%,"108,102",93.7%,1.8%
14,イギリス,"11,115",85.0%,"69,201",76.8%,1.2%
15,カナダ,"10,190",90.6%,"68,490",91.2%,1.2%
16,ロシア,"11,796",117.6%,"48,258",99.3%,0.8%
17,アラブ首長国,"6,786",96.6%,"33,262",86.2%,0.6%
18,ブラジル,"5,713",97.1%,"31,889",83.4%,0.5%
19,フランス,"4,586",90.1%,"28,055",80.9%,0.5%
20,オーストラリア,"4,450",108.6%,"23,202",87.8%,0.4%
,その他,"36,107",101.5%,"191,396",75.5%,3.2%
,,,,,,
