 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"7,513,819 ","43,775,137 ","4,134,598 ","1,162,097 ","2,972,501 ","23,790,483 ","6,180,756 ","17,609,727 ","3,379,221 ","1,322,104 ","2,057,117 ","19,984,654 ","7,495,797 ","12,488,857 "
公共計,"3,581,475 ","20,275,818 ","1,180,176 ","241,035 ","939,141 ","6,534,484 ","1,192,915 ","5,341,569 ","2,401,299 ","1,235,885 ","1,165,414 ","13,741,334 ","6,980,434 ","6,760,900 "
ドルフィン,"6,887 ","45,664 ",-,-,-,-,-,-,"6,887 ","6,887 ",-,"45,664 ","45,064 ",600 
芝浦ふ頭,"67,700 ","364,343 ",-,-,-,-,-,-,"67,700 ","1,543 ","66,157 ","364,343 ","9,356 ","354,987 "
芝浦物揚場,"6,575 ","42,389 ",-,-,-,-,-,-,"6,575 ","4,597 ","1,978 ","42,389 ","29,609 ","12,780 "
日の出ふ頭,"2,950 ","16,655 ",-,-,-,-,-,-,"2,950 ",-,"2,950 ","16,655 ",-,"16,655 "
竹芝ふ頭,"4,462 ","38,774 ",-,-,-,-,-,-,"4,462 ","3,096 ","1,366 ","38,774 ","25,666 ","13,108 "
品川岸壁,"625,632 ","3,722,997 ","351,688 ","69,783 ","281,905 ","2,040,731 ","394,299 ","1,646,432 ","273,944 ","158,090 ","115,854 ","1,682,266 ","1,005,466 ","676,800 "
　品川コンテナ,"345,007 ","1,994,559 ","345,007 ","68,530 ","276,477 ","1,993,179 ","389,546 ","1,603,633 ",-,-,-,"1,380 ",690 ,690 
　品川外貿,"6,681 ","47,552 ","6,681 ","1,253 ","5,428 ","47,552 ","4,753 ","42,799 ",-,-,-,-,-,-
　品川内貿,"273,944 ","1,680,886 ",-,-,-,-,-,-,"273,944 ","158,090 ","115,854 ","1,680,886 ","1,004,776 ","676,110 "
月島ふ頭,"1,217 ","9,043 ",-,-,-,-,-,-,"1,217 ",441 ,776 ,"9,043 ","4,035 ","5,008 "
10号西岸壁,"586,570 ","3,268,773 ",-,-,-,-,-,-,"586,570 ","361,174 ","225,396 ","3,268,773 ","1,969,609 ","1,299,164 "
10号東岸壁,"26,526 ","181,292 ",-,-,-,-,-,-,"26,526 ",105 ,"26,421 ","181,292 ",701 ,"180,591 "
東京港フェリーふ頭,"924,995 ","5,361,845 ",-,-,-,-,-,-,"924,995 ","481,575 ","443,420 ","5,361,845 ","2,778,310 ","2,583,535 "
辰巳ふ頭,"35,908 ","197,261 ",-,-,-,-,-,-,"35,908 ","15,030 ","20,878 ","197,261 ","76,681 ","120,580 "
青海コンテナふ頭（公共）,"819,778 ","4,295,879 ","801,512 ","171,252 ","630,260 ","4,203,581 ","797,860 ","3,405,721 ","18,266 ","9,230 ","9,036 ","92,298 ","55,963 ","36,335 "
大井水産物ふ頭,-,50 ,-,-,-,50 ,50 ,-,-,-,-,-,-,-
大井食品ふ頭（OL）,"16,515 ","136,114 ","4,994 ",-,"4,994 ","97,116 ",-,"97,116 ","11,521 ",-,"11,521 ","38,998 ",-,"38,998 "
大井食品ふ頭（OM）,"9,141 ","46,258 ","9,141 ",-,"9,141 ","46,258 ",-,"46,258 ",-,-,-,-,-,-
大井食品ふ頭（ON）,"7,509 ","7,509 ","7,509 ",-,"7,509 ","7,509 ",-,"7,509 ",-,-,-,-,-,-
若洲内貿ふ頭,"55,028 ","310,054 ",-,-,-,-,-,-,"55,028 ","41,796 ","13,232 ","310,054 ","230,676 ","79,378 "
15号地木材ふ頭,"4,733 ","32,710 ","4,733 ",-,"4,733 ","27,952 ",706 ,"27,246 ",-,-,-,"4,758 ","1,032 ","3,726 "
若洲建材ふ頭,"66,280 ","393,853 ",-,-,-,-,-,-,"66,280 ","5,297 ","60,983 ","393,853 ","44,592 ","349,261 "
大井建材ふ頭,"116,556 ","732,307 ",-,-,-,-,-,-,"116,556 ",-,"116,556 ","732,307 ",-,"732,307 "
城南島建設発生土ふ頭,"70,010 ","371,460 ",-,-,-,-,-,-,"70,010 ","70,010 ",-,"371,460 ","371,460 ",-
中央防波堤内側ばら物ふ頭,"5,651 ","134,419 ",599 ,-,599 ,"111,287 ",-,"111,287 ","5,052 ","1,425 ","3,627 ","23,132 ","9,379 ","13,753 "
中央防波堤内側建設発生土ふ頭,"28,702 ","67,874 ",-,-,-,-,-,-,"28,702 ","28,702 ",-,"67,874 ","67,874 ",-
中央防波堤内側内貿ふ頭,"92,150 ","498,295 ",-,-,-,-,-,-,"92,150 ","46,887 ","45,263 ","498,295 ","254,961 ","243,334 "
東京港埠頭㈱計,"2,812,324 ","16,553,964 ","2,692,820 ","866,533 ","1,826,287 ","15,872,224 ","4,748,961 ","11,123,263 ","119,504 ","51,623 ","67,881 ","681,740 ","265,049 ","416,691 "
青海コンテナふ頭(埠頭㈱),"588,539 ","3,308,597 ","572,002 ","133,340 ","438,662 ","3,224,715 ","702,280 ","2,522,435 ","16,537 ","13,325 ","3,212 ","83,882 ","67,475 ","16,407 "
お台場ライナーふ頭,"61,530 ","415,288 ","55,368 ","51,255 ","4,113 ","334,772 ","259,629 ","75,143 ","6,162 ","6,162 ",-,"80,516 ","14,584 ","65,932 "
大井コンテナふ頭,"2,162,255 ","12,830,079 ","2,065,450 ","681,938 ","1,383,512 ","12,312,737 ","3,787,052 ","8,525,685 ","96,805 ","32,136 ","64,669 ","517,342 ","182,990 ","334,352 "
民間計,"1,120,020 ","6,945,355 ","261,602 ","54,529 ","207,073 ","1,383,775 ","238,880 ","1,144,895 ","858,418 ","34,596 ","823,822 ","5,561,580 ","250,314 ","5,311,266 "
,,,,,,,,,,,,,,
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
