根拠条項,関係条項,処分事由,処分ランク,標準的な処分内容
77の35(2)一,６の２(4),適合しない旨の通知書等の交付義務違反（※１）,Ｄ,業務停止命令１月
77の35(2)一,６の２(5),特定行政庁への報告義務違反（※１）,Ｄ,業務停止命令１月
77の35(2)一,７の２(3),完了検査引受証の交付等義務違反（※２）,Ｄ,業務停止命令１月
77の35(2)一,７の２(4),完了検査の期限内履行義務違反（※２）,Ｄ,業務停止命令１月
77の35(2)一,７の２(5),検査済証の交付義務違反（※２）,Ｄ,業務停止命令１月
77の35(2)一,７の２(6),完了検査結果の報告義務違反（※２）,Ｄ,業務停止命令１月
77の35(2)一,７の４(2),中間検査引受証の交付等義務違反（※３）,Ｄ,業務停止命令１月
77の35(2)一,７の４(3),中間検査合格証の交付義務違反（※３）,Ｄ,業務停止命令１月
77の35(2)一,７の４(6),中間検査結果の報告義務違反（※３）,Ｄ,業務停止命令１月
77の35(2)一,７の６(3),仮使用認定の報告義務違反（※２）,Ｄ,業務停止命令１月
77の35(2)一,18の３(3),確認審査等に関する指針によらない確認審査（「77の35(2)五その他(3)」に係るものを除く。）,Ｄ,業務停止命令１月
77の35(2)一,77の21(2),名称等の変更の届出義務違反,Ｄ,業務停止命令１月
77の35(2)一,77の22(1),無認可による業務区域の増加,Ｃ,業務停止命令３月
77の35(2)一,77の22(2),業務区域の減少の届出義務違反,Ｄ,業務停止命令１月
77の35(2)一,77の24(1),確認検査員以外の者による確認検査の実施,Ｃ,業務停止命令３月
77の35(2)一,77の24(2),確認検査員の建築基準適合性判定資格者からの選任義務違反,Ｃ,業務停止命令３月
77の35(2)一,77の24(3),確認検査員の選任又は解任の届出義務違反,Ｄ,業務停止命令１月
77の35(2)一,77の26,確認検査義務違反,Ｃ,業務停止命令３月
77の35(2)一,77の28,指定区分等の掲示義務違反,Ｄ,業務停止命令１月
77の35(2)一,77の29,帳簿の備付け・書類保存義務違反,Ｄ,業務停止命令１月
77の35(2)一,77の29の２,業務実績等の書類の備置き、閲覧義務違反、虚偽記入,Ｄ,業務停止命令１月
77の35(2)一,77の34(1),確認検査の業務の休廃止の届出義務違反,Ｄ,業務停止命令１月
77の35(2)二,77の27(1),(1)秘密保持義務違反,Ｂ,業務停止命令６月
77の35(2)二,77の27(1),(2)法第93条第１項の消防長等の同意を得ない建築確認,Ｃ,業務停止命令３月
77の35(2)二,77の27(1),(3)法第93条第４項の消防長等への通知義務違反,Ｃ,業務停止命令３月
77の35(2)二,77の27(1),(4)法第93条第５項の保健所長への通知義務違反,Ｃ,業務停止命令３月
77の35(2)二,77の27(1),(5)その他確認検査業務規程によらない確認検査,Ｃ,業務停止命令３月
77の35(2)三,77の24(4),役員等構成の基準不適合に伴う確認検査員解任命令に違反,Ａ,取消し
77の35(2)三,77の27(3),確認検査業務規程の変更命令違反,Ａ,取消し
77の35(2)三,77の30(1),監督命令違反,Ａ,取消し
77の35(2)四,77の20一,確認検査員の必要人数基準への不適合,Ｃ,業務停止命令３月
77の35(2)四,77の20二,確認検査業務の実施計画に係る基準への不適合,Ｃ,業務停止命令３月
77の35(2)四,77の20三,有する財産の評価額の経理的基礎に係る基準への不適合,Ｃ,業務停止命令３月
77の35(2)四,77の20四,その他経理的基礎に係る基準への不適合,Ｃ,業務停止命令３月
77の35(2)四,77の20五,(1)制限業種（※4）を兼任する確認検査員の選任,Ｂ,業務停止命令６月
77の35(2)四,77の20五,(2)代表者又は担当役員が関係する個人、企業、団体等が設計、工事監理、施工等行う建築物に係る確認検査の実施,Ｂ,業務停止命令６月
77の35(2)四,77の20五,(3)確認検査員又は補助員による、その者が関係する個人、企業、団体等が設計、工事監理、施工等を行う建築物又は構造計算適合性判定を行う建築物に係る確認検査への従事,Ｂ,業務停止命令６月
77の35(2)四,77の20五,(4)業務の公正な実施に支障を及ぼすおそれのある株主等の構成,Ｂ,業務停止命令６月
77の35(2)四,77の20六,機関の親会社等である指定構造計算適合性判定機関の行った構造計算適合性判定の申請に係る建築物の計画についての建築確認の実施,Ｂ,業務停止命令６月
77の35(2)四,77の20七,機関としての制限業種（※4）の実施等,Ａ,取消し
77の35(2)四,77の20八,確認検査の業務を行うにつき十分な適格性を有していない,Ｃ,業務停止命令３月
77の35(2)五,77の31(1),(1)確認検査の業務に関し必要な報告をせず、又は虚偽の報告をしたとき,Ｃ,業務停止命令３月
77の35(2)五,77の31(1),(2)確認検査の業務の状況等の検査を拒み、妨げ又は忌避したとき,Ｃ,業務停止命令３月
77の35(2)五,77の31(1),(3)確認検査の業務の状況等の質問に対して答弁せず、又は虚偽の答弁をしたとき,Ｃ,業務停止命令３月
77の35(2)五,77の31(2),(1)確認検査の業務の状況等の検査を拒み、妨げ又は忌避したとき,Ｃ,業務停止命令３月
77の35(2)五,77の31(2),(2)確認検査の業務の状況等の質問に対して答弁せず、又は虚偽の答弁をしたとき,Ｃ,業務停止命令３月
77の35(2)五,77の35(2)本文,業務停止命令違反,Ａ,取消し
77の35(2)五,その他,(1)法第６条の２第６項の規定に基づく確認済証の失効又は法第７条の６第４項の規定に基づく仮使用認定の失効,Ａ～Ｅ,業務停止命令若しくは取消し又は監督命令
77の35(2)五,その他,(2)法第６条の２若しくは法第７条の６の規定に基づく特定行政庁への報告又は法７条の２若しくは法第７条の４の規定に基づく特定行政庁への報告若しくは通知の内容の誤り,Ｄ,業務停止命令１月
77の35(2)五,その他,(3)法第６条の２第１項の確認、法第７条の２第１項若しくは法第７条の４第１項の検査又は法第７条の６第１項第２号の仮使用の認定における著しく不適切な判断,Ａ～Ｅ,取消し若しくは業務停止命令又は監督命令
77の35(2)五,その他,(4)その他確認検査の業務に関する著しく不適切な行為,Ｃ,業務停止命令３月
77の35(2)六,77の19等,不正な手段により指定を受けたとき,Ａ,取消し
（注１）：「根拠条項」及び「関係条項」欄については、「77の35(2)一」は「第77条の35第２項第１号」の意である。,,,,
（注２）：「処分等事由の内容」欄の「（※１）」、「（※２）」及び「（※３）」は次のとおりである。,,,,
（※１）：法第87条第１項、第87条の４又は第88条第１項若しくは第２項において準用する場合を含む。,,,,
（※２）：法第87条の４又は第88条第１項若しくは第２項において準用する場合を含む。,,,,
（※３）：法第87条の４又は第88条第１項において準用する場合を含む。,,,,
（注３）：（※4）の制限業種とは、指定確認検査機関指定準則（平成11年4月28日制定）第1十一に掲げるものである。,,,,
