根拠条項,関係条項,処分事由,処分ランク,標準的な処分内容
77の35の19（2）一,"６の３（４）,18（７）",判定結果通知の期限内履行義務違反,Ｄ,業務停止命令１月
77の35の19（2）一,"６の３（５）,18（８）",判定期間延長通知義務違反,Ｄ,業務停止命令１月
77の35の19（2）一,18の３（３）,確認審査等に関する指針によらない判定,Ｄ,業務停止命令１月
77の35の19（2）一,77の35の５（2）,名称等の変更の届出義務違反,Ｄ,業務停止命令１月
77の35の19（2）一,77の35の９（１）,構造計算適合性判定員（以下「判定員」という。）以外の者による判定の実施,Ｃ,業務停止命令３月
77の35の19（2）一,77の35の９（2）,判定員の国土交通省令要件具備者からの選任義務違反,Ｃ,業務停止命令３月
77の35の19（2）一,77の35の９（３）,判定員の選任又は解任の届出義務違反,Ｄ,業務停止命令１月
77の35の19（2）一,77の35の14,帳簿の備付け・書類保存義務違反,Ｄ,業務停止命令１月
77の35の19（2）一,77の35の18（１）,判定の業務の無許可休廃止,Ｄ,業務停止命令１月
77の35の19（2）二,77の35の12（１）,構造計算適合性判定業務規定（以下「業務規定」という。）によらない判定,Ｃ,業務停止命令３月
77の35の19（2）二,77の35の10（２）,秘密保持義務違反,Ｂ,業務停止命令６月
77の35の19（2）三,77の35の９（4）,業務規定の違反等に伴う判定員解任命令違反,Ａ,取消し
77の35の19（2）三,77の35の12（３）,業務規定の変更命令違反,Ａ,取消し
77の35の19（2）三,77の35の16,監督命令違反,Ａ,取消し
77の35の19（2）四,77の35の４一,判定員の数に係る基準への不適合,Ｃ,業務停止命令３月
77の35の19（2）四,77の35の４二,判定業務の実施に関する計画（以下「実施計画」という。）に係る基準への不適合,Ｃ,業務停止命令３月
77の35の19（2）四,77の35の４三,財産の評価額に係る基準への不適合,Ｃ,業務停止命令３月
77の35の19（2）四,77の35の４四,実施計画を適格に実施するに足りる経理的な基礎に係る基準への不適合,Ｃ,業務停止命令３月
77の35の19（2）四,77の35の４五,代表者及び担当役員が関係する個人、企業、団体等が設計、工事監理、施工等を行う建築物に係る判定の実施,Ｂ,業務停止命令６月
77の35の19（2）四,77の35の４五,判定員による、その者が関係する個人、企業、団体等が設計、工事監理、施工等を行う建築物に係る判定への従事,Ｂ,業務停止命令６月
77の35の19（2）四,77の35の４五,業務の公正な実施に支障を及ぼすおそれのある株主等の構成,Ｂ,業務停止命令６月
77の35の19（2）四,77の35の４六,適判機関又は適判機関の親会社等が指定確認検査機関である場合において、当該指定確認検査機関の審査物件について判定を行ったとき,Ａ,取消し
77の35の19（2）四,77の35の４七,判定機関としての制限業種(注2)の実施等,Ａ,取消し
77の35の19（2）四,77の35の４八,判定の業務を行うにつき十分な適格性を有していないとき,Ｃ,業務停止命令３月
77の35の19（2）五,77の35の17（１）,判定の業務に関し必要な報告をせ,Ｃ,業務停止命令３月
77の35の19（2）五,77の35の17（１）,ず、又は虚偽の報告をしたとき,,
77の35の19（2）五,77の35の17（１）,判定の業務の状況等の検査を拒み、妨げ、又は忌避したとき,Ｃ,業務停止命令３月
77の35の19（2）五,77の35の17（１）,判定の業務の状況等の質問に対して答弁せず、又は虚偽の答弁をしたとき,Ｃ,業務停止命令３月
77の35の19（2）五,77の35の19（2）本文,業務停止命令違反,Ａ,取消し
77の35の19（2）五,その他,法第６条の３第１項及び法第18条第４項の判定における著しく不適切な判断,Ａ～Ｄ,取消し～業務停止命令１月
77の35の19（2）五,その他,その他判定の業務に関する著しく不適切な行為,Ｃ,業務停止命令３月
77の35の19（2）六,77の35の３等,不正な手段により指定を受けたとき,Ａ,取消し
