,都民からの意見（要旨）,意見に対する見解
１豪雨対策の推進について,今後集中豪雨など気候変動による洪水災害がより懸念される中、本対策のような迅速な対応はとても頼もしく感じる。より安全で安心して暮らせ、世界にも認められるような災害に強い都市を構築する上で、是非実現させていただきたい。,豪雨対策を積極的に推進し、都民が安全に安心して暮らせる東京を実現していきます。また、豪雨対策に併せて耐震対策も推進しています。
1豪雨対策の推進について,温暖化などにより、台風の大型化や時間雨量強度の増大などが予想されているため、目標降雨を引き上げることに賛成。事業費も増加するが、命に代えることはできないため、反対が多くとも、私は事業を進めるべきだと思う。最も恐ろしいことは、首都直下型地震とゲリラ豪雨や台風が重なること。東京都は首都でもあり、都民を守るだけでなく、日本国を守るものだと考えられる。,豪雨対策を積極的に推進し、都民が安全に安心して暮らせる東京を実現していきます。また、豪雨対策に併せて耐震対策も推進しています。
２目標降雨について,想定雨量を大幅に超えるような降雨があれば、都心では特に地下鉄などの地下施設の被害が大きく、交通機能がマヒしてしまう恐れがある。時間雨量１００ミリの集中豪雨に対し安心できる対策をして欲しい。,区部７５ミリ、多摩部６５ミリの降雨に対応できるよう目標を定め、対策を進めていきます。また、目標を超える降雨に対しても、避難方策により、生命安全を確保するようにしていきます。甚大な浸水被害が発生している地域については、対策強化流域や対策強化地区として指定して、積極的な対策を実施していきます。これにより、対策強化流域では、時間１００ミリの局地的かつ短時間の集中豪雨に対しても河川からの溢水を防ぐなど、効果を発揮させていきます。
２目標降雨について,浸水被害状況の事例では、時間最大雨量が１００ミリを超えるような雨による被害が発生しているが、今回の長期目標により、１００ミリを超えるような雨に対し、どのような効果を発揮するのか教えて欲しい。,区部７５ミリ、多摩部６５ミリの降雨に対応できるよう目標を定め、対策を進めていきます。また、目標を超える降雨に対しても、避難方策により、生命安全を確保するようにしていきます。甚大な浸水被害が発生している地域については、対策強化流域や対策強化地区として指定して、積極的な対策を実施していきます。これにより、対策強化流域では、時間１００ミリの局地的かつ短時間の集中豪雨に対しても河川からの溢水を防ぐなど、効果を発揮させていきます。
２目標降雨について,目標降雨がこれまでの時間５０ミリから、区部で７５ミリ、多摩で６５ミリになるようだが、最近は時間１００ミリも頻繁に降っているような気がしている。１００ミリに対応する計画にはしないのか。,区部７５ミリ、多摩部６５ミリの降雨に対応できるよう目標を定め、対策を進めていきます。また、目標を超える降雨に対しても、避難方策により、生命安全を確保するようにしていきます。甚大な浸水被害が発生している地域については、対策強化流域や対策強化地区として指定して、積極的な対策を実施していきます。これにより、対策強化流域では、時間１００ミリの局地的かつ短時間の集中豪雨に対しても河川からの溢水を防ぐなど、効果を発揮させていきます。
２目標降雨について,温暖化により、更に激しい雨が降りやすくなると思うが、過去の降雨データからだけでなく、今後の予想に基づいた対策を講ずるべきではないか。,区部７５ミリ、多摩部６５ミリの降雨に対応できるよう目標を定め、対策を進めていきます。また、目標を超える降雨に対しても、避難方策により、生命安全を確保するようにしていきます。甚大な浸水被害が発生している地域については、対策強化流域や対策強化地区として指定して、積極的な対策を実施していきます。これにより、対策強化流域では、時間１００ミリの局地的かつ短時間の集中豪雨に対しても河川からの溢水を防ぐなど、効果を発揮させていきます。
２目標降雨について,近年、７５ミリ以上の降雨の発生頻度が強まるかもしれないと懸念される中、７５ミリの降雨に対応や５０ミリ降雨対応地域の拡充などの対策では今後、不十分ではないかと感じる。数十年先の気候にも対応は可能なのかと疑問を感じる。,区部７５ミリ、多摩部６５ミリの降雨に対応できるよう目標を定め、対策を進めていきます。また、目標を超える降雨に対しても、避難方策により、生命安全を確保するようにしていきます。甚大な浸水被害が発生している地域については、対策強化流域や対策強化地区として指定して、積極的な対策を実施していきます。これにより、対策強化流域では、時間１００ミリの局地的かつ短時間の集中豪雨に対しても河川からの溢水を防ぐなど、効果を発揮させていきます。
３対策強化流域・地区について,対策強化流域・地区において区部７５ミリ、多摩部６５ミリまでは浸水被害を防止するという長期目的を達成するため、それぞれの対策に関する整備計画などを策定して、確実に事業を進めていただきたい。,流域別豪雨対策計画の改定・策定など、それぞれの対策に関する整備計画を順次作成し、対策を推進していきます。
３対策強化流域・地区について,対策強化流域の選定方法について、浸水被害が発生した地域を対象にしているように受け取れるが、優先順位のつけ方は本対策案がより最適か疑問に感じる。各地域の洪水リスク評価をし、比較・検討を行った上で優先順位を検討していただきたい。,対策強化流域の選定については、浸水被害の発生状況とともに、豪雨の発生頻度や、洪水リスクとして人口や資産数などの被害ポテンシャル、河川整備・下水道整備などの対策状況を総合的に評価して選定しています。今後の河川整備の進捗や水害の発生状況等を踏まえ、流域・地区の追加を検討します。
３対策強化流域・地区について,対策強化流域・地区について、なぜ、昭島市、日野市辺りは豪雨の多い地域というデータがあるにも関わらず、対策強化流域・地区にならないのか。また、今後、対策強化流域・地区に選定されることはないのか。,対策強化流域の選定については、浸水被害の発生状況とともに、豪雨の発生頻度や、洪水リスクとして人口や資産数などの被害ポテンシャル、河川整備・下水道整備などの対策状況を総合的に評価して選定しています。今後の河川整備の進捗や水害の発生状況等を踏まえ、流域・地区の追加を検討します。
