機関名,判定を行う事務所の住所,有効期限,指定権者
一般財団法人日本建築センター,東京都千代田区神田錦町一丁目９番地,令和２年６月１日から５年間,国土交通大臣
公益財団法人東京都防災・建築まちづくりセンター,新宿区西新宿七丁目七番三十号小田急西新宿Ｏ‐ＰＬＡＣＥ三階,令和２年６月１日から５年間,東京都知事
一般財団法人住宅金融普及協会,東京都文京区関口１-24-２,令和２年６月１日から５年間,国土交通大臣
一般財団法人ベターリビング,東京都千代田区富士見二丁目７番２号,令和２年６月１日から５年間,国土交通大臣
株式会社都市居住評価センター,東京都港区虎ノ門一丁目１番21号,令和２年６月１日から５年間,国土交通大臣
株式会社建築構造センター,東京都新宿区新宿１丁目８番１号大橋御苑駅ビル６階,令和２年６月１日から５年間,国土交通大臣
株式会社東京建築検査機構,東京都中央区日本橋富沢町10番16号,令和２年６月１日から５年間,国土交通大臣
ハウスプラス確認検査株式会社,東京都港区海岸一丁目11番1号,令和２年６月１日から５年間,国土交通大臣
株式会社グッド・アイズ建築検査機構,東京都新宿区百人町二丁目16番15号,令和２年６月１日から５年間,国土交通大臣
ビューローベリタスジャパン株式会社,東京都千代田区神田駿河台4丁目3番地,令和２年６月１日から５年間,国土交通大臣
株式会社国際確認検査センター,東京都中央区京橋２丁目８番２号京橋MKビル６階,令和２年６月１日から５年間,国土交通大臣
アウェイ建築評価ネット株式会社,東京都新宿区揚場町２番18号,令和２年６月１日から５年間,国土交通大臣
一般財団法人さいたま住宅検査センター,東京都武蔵野市中町１-11-４武蔵野ニッセイプラザ５階,令和２年６月１日から５年間,関東地方整備局長
日本建築検査協会株式会社,東京都中央区日本橋三丁目13番11号油脂工業会館５階,令和２年６月１日から５年間,国土交通大臣
アスコ適判株式会社,東京都品川区西五反田二丁目29番10号五反田サニーフラット202号室,令和２年３月２日から５年間,関東地方整備局長
