市,名称,指定基準,期間,助成内容
羽村,保存樹林地,1000m3以上,５年以上,・固定資産税及び都市計画税の合計額の80％に相当する額を減額。
羽村,保存樹木,市の基準による,特になし,・１本につき、年額5000円を支給。
福生,保存樹林地,7a以上,５年以上,・宅地介在山林は固定資産税及び都市計画税の合計額の80％以内の額、一般山林は1m2にあたり23円を乗じた額を奨励金として支給。
福生,保存樹木,市の基準による,５年以上,・１本につき、年額2000円を支給。
昭島,保存樹木＊市民向けは公開樹林,300m2以上＊樹林にはサイン設置,特になし＊公開樹林は５年,・保存樹林は毎年度10円/m2、公開樹林は該当年度の固定資産税と都市計画税の合計額の90％に相当する額を補助。
昭島,保存樹木,市の基準による,基準を満たす間,・５年以上の間隔で、剪定にかかる費用の2/3を上限10万円で補助。
立川,保存樹林地,300m2以上,特になし,・使用貸借契約を締結し、固定資産税、都市計画税の100％を減免。
立川,保存樹林地,300m2以上,特になし,・1m2につき、年額100円を補助金として支給。
立川,保存樹木,市の基準による,特になし,・１本につき、年額4500円を補助金として支給。
国立,特別緑地,3000m2以上,10年以上,・1m2につき、年額10円を補助金として支給。
国立,保存樹林地,330m2以上,５年以上,・１本につき、10円を補助金として支給。
国立,保存樹木,市の基準による,10年以上,・１本につき、年額3000円を補助金として支給。
府中,保存樹林地,330m2以上,５年以上,・固定資産税及び都市計画税の合計額の75％に相当する額を減税。
府中,保存樹木,市の基準による,５年以上,・１本につき、年額4000円（神社・仏閣及び私立学校については1500円）を奨励金として支給。
調布,保存地区＊稀に貴重なものは特別保全地区,300m2以上,特になし,・固定資産税及び都市計画税の合計額の85％に相当する額を補助金として支給。
調布,保存樹木＊稀に貴重なものは特別保全地区,市の基準による,特になし,・１本につき、4000円を補助金として支給。また10m以上の保存樹木は剪定補助として、3年に一度50万円を上限として剪定費用の1/2の額を補助金として支給。
