地区,番号,名称,位置,規模,用途,完了時期,事業主体・検討主体,みどりに関すること,まちづくりの手法
有明北／豊洲,1/長期（現時点で完了時期が未定のもの）,3区域（西側）,江東区有明二,,,,,,有明北地区地区計画/再開発等促進区
有明北／豊洲,2/中期（おおむねH27年度までに完成するもの）,オリンピック選手村予定地,江東区有明,約31ha,選手村,H27,東京都,,
有明北／豊洲,3/長期（現時点で完了時期が未定のもの）,,江東区東雲一,約1ha,,,,,東雲一丁目地区地区計画
晴海／勝どき,4/中期（おおむねH27年度までに完成するもの）,第２－３街区,中央区晴海二,,,,,,晴海地区地区計画再開発等促進区
晴海／勝どき,5/中期（おおむねH27年度までに完成するもの）,第２－４街区,中央区晴海二,,,,,,晴海地区地区計画再開発等促進区
晴海／勝どき,6/中期（おおむねH27年度までに完成するもの）,第２－５街区,中央区晴海二,,,,,,晴海地区地区計画再開発等促進区
晴海／勝どき,7/長期（現時点で完了時期が未定のもの）,,中央区晴海四,,,,,,晴海地区地区計画再開発等促進区
晴海／勝どき,8/中期（おおむねH27年度までに完成するもの）,オリンピックメインスタジアム予定地,中央区晴海五,,メインスタジアム,H27,東京都,,
晴海／勝どき,9/長期（現時点で完了時期が未定のもの）,,中央区晴海三,,,,,,晴海地区地区計画再開発等促進区
晴海／勝どき,10/長期（現時点で完了時期が未定のもの）,,中央区晴海三,,,,,,晴海地区地区計画再開発等促進区
晴海／勝どき,11/長期（現時点で完了時期が未定のもの）,,中央区晴海／月島／勝どき,"（3,5m幅）",護岸,,東京都,親水護岸,
晴海／勝どき,12/長期（現時点で完了時期が未定のもの）,"月島一丁目22,23,24番地区",中央区月島一,,,,"月島一丁目22,23,24番地区再開発準備組合",,市街地再開発事業
晴海／勝どき,13/長期（現時点で完了時期が未定のもの）,,中央区月島三,,,,,,
晴海／勝どき,14/長期（現時点で完了時期が未定のもの）,勝どき東地区,中央区勝どき二、四,,,,勝どき東地区再開発協議会,,市街地再開発事業
晴海／勝どき,15/長期（現時点で完了時期が未定のもの）,勝どき五丁目地区,中央区勝どき五,,,,勝どき五丁目地区再開発準備組合,,市街地再開発事業
築地／銀座,16/長期（現時点で完了時期が未定のもの）,築地市場跡地利用,中央区築地五丁目2番1号,約23ha,,,東京都,,
汐留／新橋虎ノ門,17/長期（現時点で完了時期が未定のもの）,東新橋一丁目地区,東新橋一丁目２番ほか,,,,,,
汐留／新橋虎ノ門,18/長期（現時点で完了時期が未定のもの）,浜松町一丁目地区,浜松町一丁目３番ほか,,,,浜松町一丁目地区市街地再開発準備組合,,
汐留／新橋虎ノ門,19/長期（現時点で完了時期が未定のもの）,,港区新橋四丁目、西新橋二丁目16～39,約10ha,,,,,
汐留／新橋虎ノ門,20/長期（現時点で完了時期が未定のもの）,赤坂一丁目地区,赤坂一丁目６番ほか,,,,赤坂一丁目地区市街地再開発準備組合,,
