区名,対応,部署名（部、課、係など）,電話番号
千代田区,閲覧・相談,環境まちづくり部建築指導課構造審査係,03-5211-4310
中央区,閲覧・相談,都市整備部建築課構造係,03-3546-5459
港区,閲覧・相談,街づくり支援部建築課構造係,03-3578-2295
新宿区,閲覧・相談,都市計画部建築指導課（構造設備担当）,03-5273-3745
文京区,閲覧・相談,都市計画部建築指導課構造担当,03-5803-1264
台東区,閲覧・相談,都市づくり部建築課構造防災係,03-5246-1335
墨田区,閲覧・相談,都市計画部建築指導課構造担当,03-5608-1307
江東区,閲覧・相談,都市整備部建築課構造係,03-3647-9745
品川区,閲覧・相談,都市環境部建築課審査担当(構造),03-5742-6774
目黒区,閲覧・相談,都市整備部建築課構造指導係,03-5722-9647
大田区,閲覧・相談,まちづくり推進部建築審査課構造審査担当,03-5744-1389
世田谷区,閲覧・相談,都市整備政策部建築審査課構造審査担当,03-5432-2480
渋谷区,閲覧・相談,都市整備部建築課構造係,03-3463-2738
中野区,閲覧・相談,都市基盤部建築分野耐震化促進担当,03-3228-5576
杉並区,閲覧・相談,都市整備部建築課建築防災係,03-3312-2111（内線）3349
豊島区,閲覧・相談,都市整備部建築課構造・設備審査グループ,03-3981-0614
北区,閲覧・相談,まちづくり部建築課構造設備係,03-3908-9176
荒川区,閲覧・相談,防災都市づくり部建築指導課構造・設備審査係,03-3802-3111（内線）2847
板橋区,閲覧・相談,都市整備部建築指導課構造グループ,03-3579-2579
練馬区,閲覧・相談,都市整備部建築審査課構造係,03-5984-1934
足立区,閲覧・相談,都市建設部建築審査課構造係,03-3880-5279
葛飾区,閲覧・相談,都市整備部建築課構造係,03-5654-8360
江戸川区,閲覧・相談,都市開発部建築指導課構造係,03-5662-1106
