"年度","区分","療養諸費 療養の給付 入院","療養諸費 療養の給付 入院外","療養諸費 療養の給付 歯科","療養諸費 療養の給付 薬剤","療養諸費 療養の給付 食事療養費","療養諸費 療養の給付 訪問看護","療養諸費 療養の給付 小計","療養諸費 療養費 診療費","療養諸費 療養費 その他","療養諸費 療養費 小計","療養諸費 合計","被保険者一人当たりの療養諸費費用額","被保険者一人当たりの療養諸費保険者負担額","高額療養費","移送費","その他の保険給付 出産育児一時金","その他の保険給付 葬祭費","その他の保険給付 結核･精神医療給付金","その他の保険給付 合計"
"2014","件数[件]","9795","446897","126866","248242","9217","977","832777","879","24653","25532","858309",,,"20231","0","506","210","9228","9944"
"2014","費用額[円]","5396767000","6520854000","1574045000","2831548000","216661000","62492000","16602367000","21669000","252137000","273806000","16876173000","265775","191563","1375934000","0","216840000","14700000","11418000","242958000"
"2015","件数[件]","9568","448862","125581","252379","9025","948","837338","820","23433","24253","861591",,,"22573","0","510","190","9632","10332"
"2015","費用額[円]","5247153000","6699427000","1531346000","2993946000","214265000","57628000","16743765000","14041000","242899000","256940000","17000706000","274409","197616","1410024000","0","206531000","13300000","11774000","231605000"
"2016","件数[件]","9725","437559","121832","248645","9063","1216","818977","963","22315","23278","842255",,,"21905","0","449","186","9795","10430"
"2016","費用額[円]","5231105000","6573274000","1473448000","2906929000","204839000","71393000","16460988000","21867000","220623000","242490000","16703477000","280693","201616","1482508000","0","198758000","13020000","11843000","223621000"
"2017","件数[件]","9167","422820","118377","244861","8714","1430","796655","996","21918","22914","819569",,,"21737","0","424","172","10566","11162"
"2017","費用額[円]","5225841000","6502055000","1430935000","2843569000","196867000","94165000","16293433000","22442000","217251000","239694000","16533127000","286824","206484","1486501000","0","184992000","12040000","12547000","209579000"
"2018","件数[件]","8799","418198","115423","244466","8301","1707","788593","848","20380","21228","809821",,,"16885","0","393","167","10679","11239"
"2018","費用額[円]","5090871000","6395156000","1388211000","2715183000","184671000","114536000","15888628000","19529000","203145000","222674000","16111302000","290236","209175","1449057000","0","169182000","11690000","12475000","193347000"

"令和元年度港区行政資料集　国民健康保険給付状況","Ver201903",,,,,,,,,,,,,,,,,,,
