主な問い合わせ内容,担当（所在階）,電話,FAX番号
常勤医師募集ほか,調整課庶務担当（15階）,03[sanitize]3235[sanitize]2946,03[sanitize]3235[sanitize]2968
契約・管財,調整課経理担当（15階）,03[sanitize]3235[sanitize]2947,03[sanitize]3235[sanitize]2968
企画・調整、センターの概要、刊行図書,調整課企画担当（15階）,03[sanitize]3235[sanitize]2948,03[sanitize]3235[sanitize]2968
障害者手当の支給(東京都重度心身障害者手当・障害児福祉手当(国制度)・特別児童扶養手当(国制度)・特別障害者手当(国制度))各制度,調整課手当担当（15階）,03[sanitize]3235[sanitize]2949,03[sanitize]3235[sanitize]2968
愛の手帳の判定予約　本所,障害認定課認定調整担当（14階）,03[sanitize]3235[sanitize]2961,03[sanitize]3235[sanitize]2959
愛の手帳の判定予約　支所,多摩支所相談担当,042[sanitize]573[sanitize]3311(代表),042[sanitize]576[sanitize]5295
身体障害者手帳・愛の手帳,障害認定課障害者手帳担当（14階）,03[sanitize]3235[sanitize]2963,03[sanitize]3235[sanitize]2959
補装具・更生医療,障害認定課身体障害担当（14階）,03[sanitize]3235[sanitize]2965,03[sanitize]3235[sanitize]2959
愛の手帳の判定内容,障害認定課知的障害担当（14階）,03[sanitize]3235[sanitize]2966,03[sanitize]3235[sanitize]2959
人材育成事業,地域支援課事業担当（13階）,03[sanitize]3235[sanitize]2952,03[sanitize]3235[sanitize]2957
東京都自立支援協議会,地域支援課事業担当（13階）,03[sanitize]3235[sanitize]2952,03[sanitize]3235[sanitize]2957
高次脳機能障害支援,地域支援課高次脳機能障害者支援担当（13階）,03[sanitize]3235[sanitize]2956,03[sanitize]3235[sanitize]2957
高次脳機能障害支援,専用電話相談【9時から12時、13時から16時】,03[sanitize]3235[sanitize]2955,03[sanitize]3235[sanitize]2957
障害者総合支援法関連研修,地域支援課地域支援担当（13階）,03[sanitize]3235[sanitize]2954,03[sanitize]3235[sanitize]2957
地域機関・団体支援（地域機関・団体からの依頼に基づく支援）,地域支援課高次脳機能障害者支援担当（13階）,03[sanitize]3235[sanitize]2956,03[sanitize]3235[sanitize]2957
職業（職能）評価,地域支援課就労支援担当（13階）,03[sanitize]3235[sanitize]2951,03[sanitize]3235[sanitize]2957
就労準備支援プログラム,地域支援課就労支援担当（13階）,03[sanitize]3235[sanitize]2951,03[sanitize]3235[sanitize]2957
社会生活評価プログラム,地域支援課就労支援担当（13階）,03[sanitize]3235[sanitize]2951,03[sanitize]3235[sanitize]2957
