"科目","金額[百万円]"
"年度","2017"
"期間（自）","20170401"
"期間（至）","20180331"
"経常費用","153624"
"経常費用 業務費用","76224"
"経常費用 業務費用 人件費","20314"
"経常費用 業務費用 人件費 職員給与費","16514"
"経常費用 業務費用 人件費 賞与等引当金繰入額","982"
"経常費用 業務費用 人件費 退職手当引当金繰入額","1366"
"経常費用 業務費用 人件費 その他","1451"
"経常費用 業務費用 物件費等","53795"
"経常費用 業務費用 物件費等 物件費","40578"
"経常費用 業務費用 物件費等 維持補修費","3696"
"経常費用 業務費用 物件費等 減価償却費","9520"
"経常費用 業務費用 物件費等 その他","0"
"経常費用 業務費用 その他の業務費用","2116"
"経常費用 業務費用 その他の業務費用 支払利息","34"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","825"
"経常費用 業務費用 その他の業務費用 その他","1258"
"経常費用 移転費用","77400"
"経常費用 移転費用 補助金等","56381"
"経常費用 移転費用 社会保障給付","20659"
"経常費用 移転費用 他会計への繰出金","0"
"経常費用 移転費用 その他","359"
"経常収益","11865"
"経常収益 使用料及び手数料","7719"
"経常収益 その他","4146"
"純経常行政コスト","-141759"
"臨時損失","3"
"臨時損失 災害復旧事業費","0"
"臨時損失 資産除売却損","3"
"臨時損失 投資損失引当金繰入額","0"
"臨時損失 損失補償等引当金繰入額","0"
"臨時損失 その他","0"
"臨時利益","0"
"臨時利益 資産売却益","0"
"臨時利益 その他","0"
"純行政コスト","-141763"

"全体会計財務書類（行政コスト計算書）(平成29年4月1日から平成30年3月31日)","Ver201803"
