規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.3,169,152.5,16.5,15.1,96.4,92.8,3.6
100～499人,20.2,169,152.7,16.3,14.9,95.7,91.9,3.8
100人以上,20.2,169,152.6,16.4,15,95.9,92.2,3.7
30～99人,20.7,169.2,156.5,12.7,14.3,82,79,3
５～29人,21.3,173.7,163.1,10.6,14.5,89,87,2
30人以上,20.4,169,153.9,15.1,14.6,88.5,85.2,3.3
５人以上,20.6,170.3,156.4,13.9,14.6,88.8,86.1,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年７月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
