規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.8,18.2,16.9,146.5,152.3,134.4,131.7,135.8,123.1,14.8,16.5,11.3
100～499人,18.1,18.4,17.4,147.7,155.1,135,133.6,138.9,124.5,14.1,16.2,10.5
100人以上,17.9,18.3,17.2,147.1,153.8,134.8,132.7,137.5,123.9,14.4,16.3,10.9
30～99人,17.9,18.6,16.8,139.2,151.4,121.4,129.2,139.3,114.6,10,12.1,6.8
５～29人,18.1,19.2,16.8,137.8,154,117,130.2,144.1,112.4,7.6,9.9,4.6
30人以上,17.9,18.4,17.1,144.3,153,129.4,131.5,138.1,120.2,12.8,14.9,9.2
５人以上,18,18.6,16.9,142.2,153.3,125,131.1,139.9,117.4,11.1,13.4,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
