規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,100.2,－,107.1,98.5,96.4,96.3,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,99.9,-0.3,105.4,98.8,97.3,99.5,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,0.1,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
５人以上,平成18,2006,年平均,100.9,0.9,102.5,102.3,100.8,102,99.7,98.4,103.3,102,－,－,－,－,103.4,99.7,99,－
５人以上,平成19,2007,年平均,99.6,-1.3,99.3,102.9,102.5,102.4,99.4,96.2,100.7,103.6,－,－,－,－,96.8,103.7,94.5,－
５人以上,平成20,2008,年平均,98,-1.6,97.5,103.1,102.1,104.8,99.9,95.5,99,105.9,－,－,－,－,87.1,106.2,93.6,－
５人以上,平成21,2009,年平均,96.6,-1.4,93.8,100.7,99.5,105.2,98.5,95.2,98.2,104.1,－,－,－,－,83.4,107.1,92.5,－
５人以上,平成21,2009,2月,94.8,-4,93.1,102,100.8,102.8,95.9,95,96.5,98.3,－,－,－,－,83.5,103.6,87,－
５人以上,平成21,2009,3月,97.2,-1.6,98.7,102.3,99.2,110.2,100.7,94.4,98.3,106,－,－,－,－,84.9,106.3,93.4,－
５人以上,平成21,2009,4月,101.4,-0.5,101.1,106.8,105.7,111.8,104.3,99.1,102.3,111.8,－,－,－,－,90.3,111.9,98.8,－
５人以上,平成21,2009,5月,92,-5.2,83.8,92.8,91.7,92.4,91.2,91.1,94,98.1,－,－,－,－,83.9,105.4,87.4,－
５人以上,平成21,2009,6月,100.5,-0.7,99.9,105.7,103.8,114.2,101.7,97,102.3,108.8,－,－,－,－,95.4,110.7,99.3,－
５人以上,平成21,2009,7月,102.1,-0.6,102.6,107,104.4,115.5,106.9,98.1,103.1,112.6,－,－,－,－,88.3,113,96.7,－
５人以上,平成21,2009,8月,95.3,0.2,90,97.4,96.7,101.5,99.3,95.8,97.9,103.9,－,－,－,－,63.8,107.4,92.4,－
５人以上,平成21,2009,9月,94.9,-1.8,88.4,100.5,99.1,100.6,95.5,95.5,97.8,97.5,－,－,－,－,79.5,104.5,84.4,－
５人以上,平成21,2009,10月,96.9,-3.6,97.3,99.8,98.3,110.9,99.2,94.5,97.1,106.2,－,－,－,－,89,108.8,95.7,－
５人以上,平成21,2009,11月,96.9,0.2,89.8,102.5,102.5,101.3,96.9,95.6,98.6,101.2,－,－,－,－,85.1,107.4,92.5,－
５人以上,平成21,2009,12月,96,-0.2,86.9,99.3,99.2,99.2,96.3,96.3,99,104.3,－,－,－,－,79.8,106.7,93.3,－
５人以上,平成22,2010,1月,91.4,0.7,91.3,92.5,91.5,100.6,92.1,91.3,95,99.9,－,－,－,－,77,105.3,88.4,－
５人以上,平成22,2010,2月,94.5,-0.3,90.3,100.7,100.6,102,95.7,93.4,97,97.5,－,－,－,－,85.6,104,87.2,－
５人以上,平成22,2010,2月（対前年同月比（％））,－,－,-3,-1.3,-0.2,-0.8,-0.2,-1.7,0.5,-0.8,－,－,－,－,2.5,0.4,0.2,－
30人以上,平成15,2003,年平均,99.9,－,108,96.4,96.1,96.4,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,101.2,1.3,105.9,97.4,97.6,99.4,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,-1.2,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
30人以上,平成18,2006,年平均,101.1,1.1,100.9,103.5,101.1,101.3,99.9,96.7,104,102.2,－,－,－,－,102.3,98.8,98.7,－
30人以上,平成19,2007,年平均,100.8,-0.3,97.8,106.3,103.7,102.6,100.2,95.7,102,104.2,－,－,－,－,96.7,106,92.1,－
30人以上,平成20,2008,年平均,99.4,-1.4,96,106.3,104.4,105.7,99.6,94.9,101,107.2,－,－,－,－,87.1,105.5,91.1,－
30人以上,平成21,2009,年平均,97.5,-1.9,92.3,103.6,101.3,105.4,97.9,94.8,100.7,104.9,－,－,－,－,83,104.9,91,－
30人以上,平成21,2009,2月,94.9,-4.5,91.6,102.9,101.5,102.9,94.6,93.6,98,98.9,－,－,－,－,82.3,100.8,85.2,－
30人以上,平成21,2009,3月,98.6,-1.7,97.2,105.5,100.9,110.5,100.5,93.9,102.4,106.6,－,－,－,－,85,104.3,91,－
30人以上,平成21,2009,4月,102.4,-1.2,99.5,109.4,107.5,112.2,104.3,98.4,104.9,112.8,－,－,－,－,89.1,109.8,97.4,－
30人以上,平成21,2009,5月,92.9,-6,82.5,95.4,93.7,91.4,90.6,90.7,96.1,98.9,－,－,－,－,83.3,105,85.7,－
30人以上,平成21,2009,6月,101.4,-0.6,98.4,108.8,104.8,115.4,100.3,96.3,104.9,109.4,－,－,－,－,95.7,108.3,97.9,－
