規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,6913993,4176027,2737966,139837,78568,61269,151217,86769,64448,6902613,4167826,2734787,21.6,11.9,36.3
５人以上,"鉱業,採石業,砂利採取業",2150,1689,461,29,27,2,50,45,5,2129,1671,458,0.4,0.4,0.2
５人以上,建設業,321685,273653,48032,2834,2464,370,6918,6488,430,317601,269629,47972,2.9,1,13.8
５人以上,製造業,681499,513958,167541,10676,8479,2197,11597,8590,3007,680578,513847,166731,6.8,3,18.3
５人以上,電気・ガス・熱供給・水道業,34396,29795,4601,401,359,42,280,280,0,34517,29874,4643,2.4,2.3,3.1
５人以上,情報通信業,726741,530269,196472,14108,11234,2874,8940,5925,3015,731909,535578,196331,3.3,1.2,9.2
５人以上,"運輸業,郵便業",367249,299695,67554,6139,4438,1701,7151,4810,2341,366237,299323,66914,10.4,7.6,23.1
５人以上,"卸売業,小売業",1471027,853357,617670,26034,14425,11609,26113,15524,10589,1470948,852258,618690,24.3,11.9,41.3
５人以上,"金融業,保険業",377338,225172,152166,10367,6153,4214,18050,12790,5260,369655,218535,151120,4.9,1.7,9.4
５人以上,"不動産業,物品賃貸業",174954,121062,53892,3524,2269,1255,4019,1832,2187,174459,121499,52960,16.1,10.6,28.8
５人以上,"学術研究,専門・技術サービス業",344969,229314,115655,6216,2364,3852,4071,2613,1458,347114,229065,118049,7.3,2.8,15.9
５人以上,"宿泊業,飲食サービス業",625265,305795,319470,24773,12547,12226,27256,14490,12766,622782,303852,318930,69.9,56.3,82.9
５人以上,"生活関連サービス業,娯楽業",202856,100656,102200,4617,1864,2753,7779,3104,4675,199694,99416,100278,34.2,24.9,43.5
５人以上,"教育,学習支援業",374693,193390,181303,6977,3391,3586,4886,2417,2469,376784,194364,182420,30.9,24,38.2
５人以上,"医療,福祉",513395,126544,386851,5792,1460,4332,5422,1054,4368,513765,126950,386815,30.4,22.5,33
５人以上,複合サービス事業,56197,38100,18097,582,453,129,542,284,258,56237,38269,17968,17.5,7.6,38.8
５人以上,サービス業（他に分類されないもの）,639579,333578,306001,16768,6641,10127,18143,6523,11620,638204,333696,304508,24.8,15.4,35.1
30人以上,調査産業計,4705907,2918426,1787481,84343,50098,34245,92474,54191,38283,4697776,2914333,1783443,15.8,8.1,28.4
30人以上,"鉱業,採石業,砂利採取業",2150,1689,461,29,27,2,50,45,5,2129,1671,458,0.4,0.4,0.2
30人以上,建設業,197908,171866,26042,1757,1515,242,4443,4013,430,195222,169368,25854,1.7,0.6,8.8
30人以上,製造業,514549,396589,117960,8660,7133,1527,8571,6727,1844,514638,396995,117643,5.2,2.7,13.5
30人以上,電気・ガス・熱供給・水道業,31284,27185,4099,242,242,0,262,262,0,31264,27165,4099,2.4,2.3,3
30人以上,情報通信業,622065,459124,162941,12167,10062,2105,7372,4972,2400,626860,464214,162646,2.5,0.6,7.9
30人以上,"運輸業,郵便業",289261,233353,55908,3891,2741,1150,3927,2336,1591,289225,233758,55467,9.8,7.8,18
30人以上,"卸売業,小売業",873288,509608,363680,12487,6828,5659,12636,7794,4842,873139,508642,364497,17.8,5.9,34.5
30人以上,"金融業,保険業",321077,188669,132408,8467,5126,3341,16254,11328,4926,313290,182467,130823,4.8,1.8,8.9
30人以上,"不動産業,物品賃貸業",110513,74573,35940,2048,1409,639,2655,1218,1437,109906,74764,35142,14.8,8.2,28.7
30人以上,"学術研究,専門・技術サービス業",224382,164521,59861,2388,1207,1181,2394,1779,615,224376,163949,60427,4.6,2.5,10.4
30人以上,"宿泊業,飲食サービス業",221020,113840,107180,5683,2777,2906,7436,3899,3537,219267,112718,106549,56.2,40.9,72.3
30人以上,"生活関連サービス業,娯楽業",102181,46337,55844,2202,659,1543,3104,1144,1960,101279,45852,55427,37.1,23.3,48.5
30人以上,"教育,学習支援業",285727,160038,125689,5150,2918,2232,3613,1971,1642,287264,160985,126279,27,22.1,33.3
30人以上,"医療,福祉",353007,94442,258565,3745,1252,2493,3592,1022,2570,353160,94672,258488,24.7,20.9,26.1
30人以上,複合サービス事業,41243,30836,10407,407,357,50,238,193,45,41412,31000,10412,18,8.7,45.6
30人以上,サービス業（他に分類されないもの）,516252,245756,270496,15020,5845,9175,15927,5488,10439,515345,246113,269232,27,18.2,35
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１０月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
