規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.2,160.9,144.1,16.8,14.9,94.7,90.6,4.1
100～499人,19.2,161.1,144.7,16.4,14.7,93.2,89.5,3.7
100人以上,19.2,161,144.4,16.6,14.8,93.8,89.9,3.9
30～99人,19.7,161.1,148.5,12.6,14,81.4,78.4,3
５～29人,20.3,166.5,156,10.5,14.1,85.9,84,1.9
30人以上,19.3,161,145.8,15.2,14.4,87.5,84.1,3.4
５人以上,19.6,162.6,148.6,14,14.2,86.7,84,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１０月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
