規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.7,20,19,160.6,165.6,150.3,145.5,149,138.3,15.1,16.6,12
100～499人,19.5,19.9,18.7,158.2,166.7,144.4,144.1,150.4,133.8,14.1,16.3,10.6
100人以上,19.5,20,18.8,159.2,166.2,146.8,144.7,149.8,135.6,14.5,16.4,11.2
30～99人,19.3,20.2,18.1,150.4,163.2,132,140.3,150.9,125,10.1,12.3,7
５～29人,19.1,20.2,17.7,145.1,162,123.9,137.8,152.3,119.5,7.3,9.7,4.4
30人以上,19.5,20,18.5,156,165.2,140.9,143.1,150.2,131.4,12.9,15,9.5
５人以上,19.4,20.1,18.2,152.5,164.2,134.9,141.4,150.8,127.2,11.1,13.4,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年６月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
