規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.6,18.9,17.9,153.2,158.3,143,138.5,142.2,131,14.7,16.1,12
100～499人,18.6,19,17.9,151.4,159.5,138.2,137.6,143.4,128.2,13.8,16.1,10
100人以上,18.6,18.9,17.9,152.2,158.9,140.1,138,142.8,129.3,14.2,16.1,10.8
30～99人,18.5,19.4,17.3,144,156.8,125.7,134.2,144.5,119.4,9.8,12.3,6.3
５～29人,18.5,19.7,17,141.8,157.9,120.5,134.4,148,116.4,7.4,9.9,4.1
30人以上,18.6,19.1,17.7,149.2,158.2,134.4,136.6,143.4,125.4,12.6,14.8,9
５人以上,18.6,19.3,17.5,146.8,158.1,129.6,135.9,144.8,122.3,10.9,13.3,7.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年９月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
