規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.8,18.1,17.1,147.6,152.6,137.1,132.1,135.8,124.4,15.5,16.8,12.7
100～499人,17.9,18.2,17.4,145.9,152.8,134.7,131.9,136.8,124,14,16,10.7
100人以上,17.8,18.2,17.3,146.6,152.8,135.6,132,136.4,124.1,14.6,16.4,11.5
30～99人,17.6,18.3,16.7,138.3,149.3,122.6,127.7,136.4,115.3,10.6,12.9,7.3
５～29人,17.6,18.5,16.4,134,149.3,114.8,126.6,139.8,110.1,7.4,9.5,4.7
30人以上,17.8,18.2,17,143.6,151.6,130.5,130.4,136.4,120.6,13.2,15.2,9.9
５人以上,17.7,18.3,16.8,140.5,150.9,124.9,129.2,137.4,116.9,11.3,13.5,8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年５月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
