規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,523983,485306,441605,43701,38677,163628,161892,150843,11049,1736
100～499人,460079,407286,375302,31984,52793,118441,117492,112012,5480,949
100人以上,488921,442499,405227,37272,46422,133576,132364,125019,7345,1212
30～99人,405067,373194,350480,22714,31873,101082,99749,96133,3616,1333
５～29人,358897,339960,324874,15086,18937,96009,95527,92996,2531,482
30人以上,460600,419092,386737,32355,41508,117028,115754,110308,5446,1274
５人以上,433178,397756,370057,27699,35422,106575,105695,101699,3996,880
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１１月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
