規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.2,169.3,151.7,17.6,15.4,98.8,94.6,4.2
100～499人,20.6,170.9,153.8,17.1,15,94.7,90.7,4
100人以上,20.4,170.2,152.9,17.3,15.1,96,92,4
30～99人,20.7,172.4,157.6,14.8,14.2,81.7,78.7,3
５～29人,21.4,174.4,163.4,11,14.3,88.4,86,2.4
30人以上,20.5,171,154.5,16.5,14.7,88.9,85.4,3.5
５人以上,20.7,171.9,156.9,15,14.5,88.6,85.7,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年４月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
