産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.44,1.73,1.1,1.56
"鉱業,採石業,砂利採取業",0.89,0.64,0.89,0.64
建設業,0.92,1.04,0.33,0.92
製造業,0.74,0.99,0.78,0.94
電気・ガス・熱供給・水道業,0.48,0.44,0.53,0.4
情報通信業,0.79,1.01,0.5,0.86
"運輸業,郵便業",1.03,1.61,1.01,1.39
"卸売業,小売業",1.35,2.05,0.82,2.1
"金融業,保険業",1.21,1.32,1.19,1.17
"不動産業,物品賃貸業",1.05,1,0.9,1.01
"学術研究,専門・技術サービス業",0.88,0.86,0.71,0.83
"宿泊業,飲食サービス業",4,3.89,4,3.67
"生活関連サービス業,娯楽業",2.52,1.9,1.5,2.11
"教育,学習支援業",0.59,0.9,0.4,0.65
"医療,福祉",1.48,1.79,1.33,1.76
複合サービス事業,0.7,0.45,0.27,0.27
サービス業（他に分類されないもの）,1.86,2.33,2.04,2.62
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年２月分,,,,
第４表  産業別労働異動率,,,,
