規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1241851,484486,442836,41650,757365,177396,160384,149180,11204,17012
100～499人,972906,409046,376942,32104,563860,133421,117011,111164,5847,16410
100人以上,1094220,443075,406665,36410,651145,148398,131783,124112,7671,16615
30～99人,842561,381903,359324,22579,460658,120447,103838,98421,5417,16609
５～29人,622057,340740,324686,16054,281317,103389,97223,94371,2852,6166
30人以上,1010417,422705,390901,31804,587712,133901,117289,110787,6502,16612
５人以上,905042,400465,372934,27531,504577,119031,107510,102787,4723,11521
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１２月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
