規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,6901448,4163803,2737645,113702,60637,53065,99413,53412,46001,6915737,4171028,2744709,21.9,12.2,36.6
５人以上,"鉱業,採石業,砂利採取業",2129,1671,458,26,24,2,41,39,2,2114,1656,458,0.4,0.4,0.2
５人以上,建設業,317601,269584,48017,2639,2318,321,3762,3221,541,316478,268681,47797,2.8,1,12.9
５人以上,製造業,679413,511846,167567,5947,4232,1715,6814,5598,1216,678546,510480,168066,7.4,3.3,19.9
５人以上,電気・ガス・熱供給・水道業,34517,29956,4561,173,0,173,133,122,11,34557,29834,4723,2.1,1.9,3
５人以上,情報通信業,731909,536093,195816,3805,2434,1371,5911,3536,2375,729803,534991,194812,3.1,1.1,8.6
５人以上,"運輸業,郵便業",366237,301357,64880,7304,4663,2641,6434,5284,1150,367107,300736,66371,12.4,9.6,24.9
５人以上,"卸売業,小売業",1470948,852540,618408,19665,11485,8180,18469,8797,9672,1472144,855228,616916,24.3,12,41.3
５人以上,"金融業,保険業",369655,220212,149443,10662,7230,3432,5960,3337,2623,374357,224105,150252,4.9,1.8,9.5
５人以上,"不動産業,物品賃貸業",174459,121362,53097,2979,2005,974,2299,1518,781,175139,121849,53290,18.7,12.8,32.2
５人以上,"学術研究,専門・技術サービス業",347114,229594,117520,2160,1219,941,2426,1280,1146,346848,229533,117315,6.9,2.5,15.5
５人以上,"宿泊業,飲食サービス業",622782,300368,322414,24149,11886,12263,18938,10842,8096,627993,301412,326581,70.7,56.3,84
５人以上,"生活関連サービス業,娯楽業",199694,98130,101564,3147,1681,1466,5812,2355,3457,197029,97456,99573,33.6,24.6,42.4
５人以上,"教育,学習支援業",376784,193583,183201,4486,2109,2377,3331,1349,1982,377939,194343,183596,31.5,23.8,39.6
５人以上,"医療,福祉",513765,125231,388534,5132,754,4378,6710,2116,4594,512187,123869,388318,30.1,22.7,32.4
５人以上,複合サービス事業,56237,38154,18083,818,92,726,591,47,544,56464,38199,18265,18.7,7.6,42
５人以上,サービス業（他に分類されないもの）,638204,334122,304082,20610,8505,12105,11782,3971,7811,647032,338656,308376,24.5,15.7,34.1
30人以上,調査産業計,4696611,2912817,1783794,68919,36468,32451,57950,31901,26049,4707580,2917384,1790196,16.2,8.4,28.8
30人以上,"鉱業,採石業,砂利採取業",2129,1671,458,26,24,2,41,39,2,2114,1656,458,0.4,0.4,0.2
30人以上,建設業,195222,169317,25905,1080,885,195,1730,1422,308,194572,168780,25792,1.6,0.6,8.2
30人以上,製造業,513473,394533,118940,4709,3438,1271,5451,4575,876,512731,393396,119335,6,3.1,15.8
30人以上,電気・ガス・熱供給・水道業,31264,27247,4017,173,0,173,133,122,11,31304,27125,4179,2,1.8,3
30人以上,情報通信業,626860,464646,162214,2955,2010,945,3981,2594,1387,625834,464062,161772,2.4,0.6,7.7
30人以上,"運輸業,郵便業",289225,235792,53433,5323,3362,1961,5742,4787,955,288806,234367,54439,12.1,10.3,19.4
30人以上,"卸売業,小売業",873139,508698,364441,6903,3873,3030,7678,3192,4486,872364,509379,362985,17.8,5.9,34.5
30人以上,"金融業,保険業",313290,183324,129966,9289,6338,2951,5173,3204,1969,317406,186458,130948,4.8,1.8,9
30人以上,"不動産業,物品賃貸業",109906,74685,35221,1386,1042,344,1348,918,430,109944,74809,35135,18.1,11.4,32.4
30人以上,"学術研究,専門・技術サービス業",224376,164597,59779,1213,770,443,1503,982,521,224086,164385,59701,4.2,2.2,9.7
30人以上,"宿泊業,飲食サービス業",219267,110791,108476,8358,4722,3636,6322,3374,2948,221303,112139,109164,56.4,40.2,73
30人以上,"生活関連サービス業,娯楽業",101279,45853,55426,1698,787,911,1752,647,1105,101225,45993,55232,36.8,23.3,48.2
30人以上,"教育,学習支援業",287264,160317,126947,3436,1668,1768,2269,1001,1268,288431,160984,127447,28,22.1,35.4
30人以上,"医療,福祉",353160,94401,258759,3916,507,3409,4129,1743,2386,352947,93165,259782,24.5,20.9,25.7
30人以上,複合サービス事業,41412,31012,10400,309,55,254,508,47,461,41213,31020,10193,18.4,8.6,48.1
30人以上,サービス業（他に分類されないもの）,515345,245933,269412,18145,6987,11158,10190,3254,6936,523300,249666,273634,26.7,18.6,34.1
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１１月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
