規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.2,152.6,136.6,16,13.6,88.1,84.5,3.6
100～499人,18.7,157.4,141.5,15.9,14.4,90.8,87.2,3.6
100人以上,18.5,155.2,139.3,15.9,14.1,89.9,86.3,3.6
30～99人,19,156,144.2,11.8,13.4,76.4,73.4,3
５～29人,20.5,165.7,155.4,10.3,13.5,82.4,80.2,2.2
30人以上,18.7,155.4,140.9,14.5,13.8,83.2,79.9,3.3
５人以上,19.1,158.2,144.8,13.4,13.6,82.7,80,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
