産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.25,1.71,1.23,1.61
"鉱業,採石業,砂利採取業",2.17,2.9,2.17,2.9
建設業,0.93,0.96,1.09,0.82
製造業,1.21,1.47,1.4,1.5
電気・ガス・熱供給・水道業,1.58,1.31,1.73,1.44
情報通信業,0.77,1.2,0.6,1.3
"運輸業,郵便業",1.16,2.6,0.95,2.24
"卸売業,小売業",0.97,1.05,0.6,0.82
"金融業,保険業",2.05,1.46,2.14,1.43
"不動産業,物品賃貸業",1.27,1.59,1.27,1.27
"学術研究,専門・技術サービス業",1.08,0.97,0.85,1.02
"宿泊業,飲食サービス業",2.01,4.09,2.32,3.56
"生活関連サービス業,娯楽業",1.03,2.34,1.37,2.95
"教育,学習支援業",0.68,0.91,0.62,0.9
"医療,福祉",1.62,1.71,1.93,1.93
複合サービス事業,0.46,0.54,0.21,0.31
サービス業（他に分類されないもの）,1.75,2.43,2.09,2.89
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１月分,,,,
第４表  産業別労働異動率,,,,
