規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18.4,19.2,17.4,146.1,157.4,129,134.6,143.4,121.3,11.5,14,7.7
５人以上,"鉱業,採石業,砂利採取業",18.8,18.9,18.2,149.2,150.5,144.5,137.2,138.4,132.8,12,12.1,11.7
５人以上,建設業,20,20.2,19,167,170.5,147.3,152,154.3,139.4,15,16.2,7.9
５人以上,製造業,19.3,19.5,18.5,158.9,163,146.4,147.1,150.3,137.4,11.8,12.7,9
５人以上,電気・ガス・熱供給・水道業,19,19.2,17.9,164.5,167.4,145.9,142.9,144.8,130.8,21.6,22.6,15.1
５人以上,情報通信業,19.1,19.3,18.3,163.8,168.3,151.4,143,146.4,133.6,20.8,21.9,17.8
５人以上,"運輸業,郵便業",19.7,20,18.2,168.7,174.9,140.7,146.5,150.3,129.6,22.2,24.6,11.1
５人以上,"卸売業,小売業",18.5,19.4,17.4,143.6,155,128,136.2,146.2,122.5,7.4,8.8,5.5
５人以上,"金融業,保険業",18.7,19,18.1,154.5,159.6,147,138.8,142,134.2,15.7,17.6,12.8
５人以上,"不動産業,物品賃貸業",19.4,19.9,18.3,154.6,161.9,138,142.3,148.1,129.1,12.3,13.8,8.9
５人以上,"学術研究,専門・技術サービス業",19.2,19.5,18.6,157,161.3,148.8,141.4,144.3,135.9,15.6,17,12.9
５人以上,"宿泊業,飲食サービス業",16.2,17.5,15,112.1,131.4,93.7,105.7,122.2,90,6.4,9.2,3.7
５人以上,"生活関連サービス業,娯楽業",18.6,19.4,17.7,145.7,157.1,134.5,137.6,148.3,127.1,8.1,8.8,7.4
５人以上,"教育,学習支援業",16.8,17.4,16.1,119.4,123.5,115.1,114.5,118,110.8,4.9,5.5,4.3
５人以上,"医療,福祉",17.6,17.7,17.6,131.4,139.9,128.5,125,132.9,122.4,6.4,7,6.1
５人以上,複合サービス事業,18,18.5,17,148.2,155.5,132.8,136.8,141.8,126.2,11.4,13.7,6.6
５人以上,サービス業（他に分類されないもの）,18.2,19,17.3,141.8,154.7,127.6,130.7,140.7,119.7,11.1,14,7.9
30人以上,調査産業計,18.6,19.1,17.6,149.5,158.6,134.5,136.1,142.9,124.9,13.4,15.7,9.6
30人以上,"鉱業,採石業,砂利採取業",18.8,18.9,18.2,149.2,150.5,144.5,137.2,138.4,132.8,12,12.1,11.7
30人以上,建設業,19.7,19.9,18.3,167.4,170.6,146.3,149.5,151.5,136.3,17.9,19.1,10
30人以上,製造業,19.1,19.3,18.4,159.7,162.8,149.3,146.6,149.1,138.3,13.1,13.7,11
30人以上,電気・ガス・熱供給・水道業,18.9,19.1,17.6,165.2,168.4,144.4,141.9,144,128.1,23.3,24.4,16.3
30人以上,情報通信業,19,19.3,18.3,163.5,168,150.9,142,145.3,132.7,21.5,22.7,18.2
30人以上,"運輸業,郵便業",19.6,20,18,167.6,174.1,140.4,145.8,149.8,129,21.8,24.3,11.4
30人以上,"卸売業,小売業",18.8,19.5,17.8,146.8,156.4,133.5,138,146.4,126.3,8.8,10,7.2
30人以上,"金融業,保険業",18.6,18.9,18.1,154.4,159.7,146.9,137.8,141,133.2,16.6,18.7,13.7
30人以上,"不動産業,物品賃貸業",19.1,19.6,18.1,150.5,157.4,135.9,137.7,143.2,126,12.8,14.2,9.9
30人以上,"学術研究,専門・技術サービス業",19.4,19.6,19,162.9,164.5,158.3,142.9,144.2,139.3,20,20.3,19
30人以上,"宿泊業,飲食サービス業",16.7,17.6,15.7,118,133.9,101.1,111.3,125.4,96.4,6.7,8.5,4.7
30人以上,"生活関連サービス業,娯楽業",17.8,19,16.9,139.2,154.1,126.7,128.7,141.9,117.6,10.5,12.2,9.1
30人以上,"教育,学習支援業",16.8,17.5,16,119.4,122.8,114.9,114.8,117.9,110.8,4.6,4.9,4.1
30人以上,"医療,福祉",18.1,17.7,18.2,138.9,142.2,137.7,130.9,134.2,129.7,8,8,8
30人以上,複合サービス事業,18.2,18.7,16.8,149.2,155.9,129.3,136.5,141.1,123,12.7,14.8,6.3
30人以上,サービス業（他に分類されないもの）,17.9,18.6,17.1,138.7,152,126.6,127.1,136.9,118.2,11.6,15.1,8.4
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１０月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
