規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.1,167.2,150.9,16.3,15.8,97.9,94.1,3.8
100～499人,20.2,168.5,152.7,15.8,15.1,95.5,91.8,3.7
100人以上,20.1,167.9,151.9,16,15.3,96.3,92.6,3.7
30～99人,20.7,169.1,157,12.1,14.1,80.5,77.7,2.8
５～29人,21.4,173,163.1,9.9,14.4,88,85.9,2.1
30人以上,20.3,168.3,153.6,14.7,14.7,88.4,85.2,3.2
５人以上,20.6,169.6,156.2,13.4,14.6,88.2,85.5,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年６月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
