規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1107629,477535,438609,38926,630094,167768,157953,147295,10658,9815
100～499人,850812,402337,372688,29649,448475,126760,118043,112971,5072,8717
100人以上,967129,436396,402545,33851,530733,141032,131933,124917,7016,9099
30～99人,659636,371021,350156,20865,288615,109654,100309,97189,3120,9345
５～29人,494922,337543,323316,14227,157379,101472,98468,95703,2765,3004
30人以上,862635,414180,384742,29438,448455,125418,116197,111120,5077,9221
５人以上,763194,393455,368131,25324,369739,113485,107362,103437,3925,6123
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年６月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
