事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,TL 調査産業計,平成17,2005,年平均,6344869,3987491,2357378,135744,75553,60191,134863,74283,60580,6345750,3988761,2356989,20.4,10.1,37.9
５人以上,TL 調査産業計,平成18,2006,年平均,6395191,4016010,2379181,141384,74178,67206,133357,71271,62086,6403218,4018917,2384301,20.3,10.6,36.8
５人以上,TL 調査産業計,平成19,2007,年平均,6482040,4073527,2408513,145927,76877,69050,137658,72908,64750,6490309,4077496,2412813,20.2,10.6,36.3
５人以上,TL 調査産業計,平成20,2008,年平均,6579296,4124424,2454871,145845,77920,67925,134754,71724,63030,6590387,4130620,2459766,20.1,10.4,36.4
５人以上,TL 調査産業計,平成21,2009,年平均,6947271,4210603,2736668,151406,80726,70681,150097,79265,70832,6948580,4212064,2736517,21.5,11.7,36.6
５人以上,TL 調査産業計,平成22,2010,年平均,6909804,4180989,2728815,139408,71730,67678,141713,74861,66852,6907499,4177858,2729641,21.4,11.8,36.1
５人以上,TL 調査産業計,平成22,2010,1月,6937067,4223589,2713478,86924,45772,41152,118551,63153,55398,6905440,4206208,2699232,21.2,11.8,35.8
５人以上,TL 調査産業計,平成22,2010,2月,6906632,4192830,2713802,99453,47615,51838,119349,61264,58085,6886736,4179181,2707555,21.3,11.9,35.7
５人以上,TL 調査産業計,平成22,2010,3月,6886736,4188218,2698518,117609,59023,58586,158705,86990,71715,6845640,4160251,2685389,21,11.5,35.6
５人以上,TL 調査産業計,平成22,2010,4月,6845640,4151513,2694127,427406,214999,212407,324767,172559,152208,6948279,4193953,2754326,20.6,11.2,34.9
５人以上,TL 調査産業計,平成22,2010,5月,6948280,4170355,2777925,114576,57742,56834,144366,78792,65574,6918490,4149305,2769185,20.8,11.3,35
５人以上,TL 調査産業計,平成22,2010,6月,6916157,4164155,2752002,123388,65286,58102,115331,62428,52903,6924214,4167013,2757201,21,11.6,35.2
５人以上,TL 調査産業計,平成22,2010,7月,6925406,4197307,2728099,127992,69131,58861,125227,69312,55915,6928171,4197126,2731045,22.1,12.2,37.3
５人以上,TL 調査産業計,平成22,2010,8月,6928172,4174820,2753352,100018,49269,50749,135806,63505,72301,6892384,4160584,2731800,21.5,11.6,36.5
５人以上,TL 調査産業計,平成22,2010,9月,6892383,4179923,2712460,133061,69751,63310,111451,54967,56484,6913993,4194707,2719286,21.8,12.1,36.6
５人以上,TL 調査産業計,平成22,2010,10月,6913993,4176027,2737966,139837,78568,61269,151217,86769,64448,6902613,4167826,2734787,21.6,11.9,36.3
５人以上,TL 調査産業計,平成22,2010,11月,6901448,4163803,2737645,113702,60637,53065,99413,53412,46001,6915737,4171028,2744709,21.9,12.2,36.6
５人以上,TL 調査産業計,平成22,2010,12月,6915738,4189331,2726407,88926,42964,45962,96372,45177,51195,6908292,4187118,2721174,22.3,12.6,37.2
５人以上,C 鉱業，採石業，砂利採取業,平成17,2005,年平均,2696,2208,488,59,47,12,53,39,13,2702,2216,487,0,0,0.2
