規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,453757,526565,304156,444717,514839,300635,409104,35613,9040,11726,3521
100～499人,370900,433120,263986,362853,423612,258451,336065,26788,8047,9508,5535
100人以上,407427,475750,280549,398942,465230,275844,368263,30679,8485,10520,4705
30～99人,316527,383541,219163,312217,378241,216291,295573,16644,4310,5300,2872
５～29人,260175,324471,178274,257527,321766,175698,246977,10550,2648,2705,2576
30人以上,374092,443899,255822,367138,435182,251856,341606,25532,6954,8717,3966
５人以上,337773,408756,228158,332192,401808,224688,311437,20755,5581,6948,3470
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
