規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,476967,549245,328285,453078,521595,312133,414675,38403,23889,27650,16152
100～499人,373980,441656,264095,363675,428501,258418,336287,27388,10305,13155,5677
100人以上,419024,490940,289783,402778,471145,279914,370572,32206,16246,19795,9869
30～99人,326134,397375,227066,315759,385362,218969,297392,18367,10375,12013,8097
５～29人,261881,322017,182480,256959,316611,178197,245996,10963,4922,5406,4283
30人以上,385063,458858,264524,370963,441731,255369,343817,27146,14100,17127,9155
５人以上,345719,417675,236013,334551,404076,228551,312574,21977,11168,13599,7462
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１０月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
