規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1017289,1220407,603666,446817,515720,306505,410608,36209,570472,704687,297161
100～499人,748304,889535,520452,362088,424529,261350,335918,26170,386216,465006,259102
100人以上,866703,1041956,554036,399383,466537,279574,368794,30589,467320,575419,274462
30～99人,543984,669670,363587,314095,380206,219206,296962,17133,229889,289464,144381
５～29人,366008,459390,247745,259210,322406,179176,248739,10471,106798,136984,68569
30人以上,749199,913533,478691,368329,436757,255692,342640,25689,380870,476776,222999
５人以上,627308,779433,397261,333619,402991,228713,312770,20849,293689,376442,168548
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年６月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
