産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.71,2.3,1.52,2.15
"鉱業,採石業,砂利採取業",1.38,1.29,1.38,1.29
建設業,0.92,0.97,0.88,0.67
製造業,0.87,1.33,0.91,1.27
電気・ガス・熱供給・水道業,0.39,0.51,0.42,0.56
情報通信業,1,1.12,0.92,1.06
"運輸業,郵便業",1.26,1.79,1.22,1.75
"卸売業,小売業",1.47,2.63,1.06,2.77
"金融業,保険業",1.23,1.51,1.26,1.45
"不動産業,物品賃貸業",1.11,1.42,1.25,1.45
"学術研究,専門・技術サービス業",1.18,1.79,0.82,1.41
"宿泊業,飲食サービス業",3.88,4.71,3.55,3.58
"生活関連サービス業,娯楽業",2.19,2.43,1.56,1.9
"教育,学習支援業",0.94,2.29,0.33,2.04
"医療,福祉",3.53,3.14,4.37,4.02
複合サービス事業,0.84,5.5,0.24,6.31
サービス業（他に分類されないもの）,2.17,2.63,2.54,2.93
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年３月分,,,,
第４表  産業別労働異動率,,,,
