規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,493650,482830,444697,38133,10820,163493,161223,150913,10310,2270
100～499人,429021,408443,379588,28855,20578,119104,117356,111939,5417,1748
100人以上,458211,442040,408994,33046,16171,134631,132700,125572,7128,1931
30～99人,385604,375013,352120,22893,10591,103404,101113,97812,3301,2291
５～29人,344384,338380,324182,14198,6004,98374,98147,95570,2577,227
30人以上,434020,419708,390045,29663,14312,118198,116078,110964,5114,2120
５人以上,409633,397582,372127,25455,12051,108519,107323,103447,3876,1196
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年９月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
