規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19,19.4,18.2,156.9,162.3,145.7,140.8,144.7,132.8,16.1,17.6,12.9
100～499人,18.8,19.3,18,153.7,162.6,139.4,138.7,145,128.5,15,17.6,10.9
100人以上,18.9,19.3,18.1,155.1,162.5,141.9,139.6,144.9,130.2,15.5,17.6,11.7
30～99人,18.7,19.6,17.5,146.3,159,128.7,135.5,145.6,121.5,10.8,13.4,7.2
５～29人,18.6,19.7,17.1,141.7,158,120.2,134,147.8,115.8,7.7,10.2,4.4
30人以上,18.8,19.4,17.9,151.9,161.2,136.6,138.1,145.1,126.7,13.8,16.1,9.9
５人以上,18.7,19.5,17.6,148.6,160.3,130.9,136.8,145.9,122.9,11.8,14.4,8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
