事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成17,2005,年平均,18.9,19.7,17.8,145.1,158.6,126.8,137.2,148.6,121.8,7.9,10,5
５～29人,平成18,2006,年平均,18.9,19.8,17.6,145.6,160,125.4,137.5,149.3,121,8.1,10.7,4.4
５～29人,平成19,2007,年平均,18.4,19.5,17,141.1,156.6,120.4,133.8,146.7,116.6,7.3,9.9,3.8
５～29人,平成20,2008,年平均,18.3,19.4,16.9,138.7,155.5,118.2,131.1,145.3,113.8,7.6,10.2,4.4
５～29人,平成21,2009,年平均,18.1,19.1,16.7,137,153.8,116.5,129.4,143.7,112,7.6,10.1,4.5
５～29人,平成22,2010,年平均,18.3,19.4,16.9,139.9,156,119.1,132.3,146,114.6,7.6,10,4.5
５～29人,平成22,2010,1月,16.9,17.9,15.5,128.3,143.3,108.9,121.2,134.1,104.6,7.1,9.2,4.3
５～29人,平成22,2010,2月,18.1,19.2,16.8,137.8,154,117,130.2,144.1,112.4,7.6,9.9,4.6
５～29人,平成22,2010,3月,18.5,19.6,17.1,141.5,158.1,120.3,133.2,147.4,115,8.3,10.7,5.3
５～29人,平成22,2010,4月,19.1,20.1,17.8,146.2,162.7,125.3,138,152.1,120.1,8.2,10.6,5.2
５～29人,平成22,2010,5月,17.6,18.5,16.4,134,149.3,114.8,126.6,139.8,110.1,7.4,9.5,4.7
５～29人,平成22,2010,6月,19.1,20.2,17.7,145.1,162,123.9,137.8,152.3,119.5,7.3,9.7,4.4
５～29人,平成22,2010,7月,19,20.1,17.5,145,161.4,123.3,137.3,151.1,119,7.7,10.3,4.3
５～29人,平成22,2010,8月,18.1,19.2,16.6,138.2,154.3,117.1,131,144.5,113.2,7.2,9.8,3.9
５～29人,平成22,2010,9月,18.5,19.7,17,141.8,157.9,120.5,134.4,148,116.4,7.4,9.9,4.1
５～29人,平成22,2010,10月,18.2,19.2,16.8,139.2,154.6,118.9,131.6,144.5,114.6,7.6,10.1,4.3
