規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,494339,482427,443114,39313,11912,161660,160952,150560,10392,708
100～499人,415250,404368,374493,29875,10882,120113,119713,114276,5437,400
100人以上,451137,439787,405630,34157,11350,134615,134108,126941,7167,507
30～99人,385894,372587,351768,20819,13307,100846,100573,97291,3282,273
５～29人,359391,337323,322657,14666,22068,96870,96276,93647,2629,594
30人以上,429101,417090,387438,29652,12011,117465,117077,111883,5194,388
５人以上,410374,395661,370035,25626,14713,107145,106654,102745,3909,491
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年８月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
