産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.65,2.08,1.46,1.93
"鉱業,採石業,砂利採取業",1.6,1.13,1.6,1.13
建設業,1.27,1.13,1.27,1.46
製造業,0.92,1.42,1,1.69
電気・ガス・熱供給・水道業,1.16,0.59,1.08,0.54
情報通信業,1.63,2.58,1.46,2.71
"運輸業,郵便業",1.33,1.63,1.36,1.8
"卸売業,小売業",1.63,1.63,1.47,1.33
"金融業,保険業",0.93,1.38,0.89,1.39
"不動産業,物品賃貸業",1.74,2.3,1.29,2.05
"学術研究,専門・技術サービス業",0.94,1.41,0.7,1.41
"宿泊業,飲食サービス業",3.2,4.94,2.71,3.99
"生活関連サービス業,娯楽業",1.95,2.89,1.41,1.94
"教育,学習支援業",1.89,0.81,1.8,0.81
"医療,福祉",1.33,1.67,1.29,1.69
複合サービス事業,1.54,1.08,0.97,0.78
サービス業（他に分類されないもの）,2.18,2.78,2.21,3.08
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年５月分,,,,
第４表  産業別労働異動率,,,,
