規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,489492,568000,327191,454351,525393,307485,413775,40576,35141,42607,19706
100～499人,409723,488344,282462,364572,428688,260789,336495,28077,45151,59656,21673
100人以上,444567,524842,300282,403788,472998,279392,370251,33537,40779,51844,20890
30～99人,336687,410939,233824,311684,380513,216333,293266,18418,25003,30426,17491
５～29人,269442,334556,183983,256785,317207,177483,245971,10814,12657,17349,6500
30人以上,405145,485849,273492,370131,441337,253972,342119,28012,35014,44512,19520
５人以上,361804,440385,242335,333930,404036,227347,311411,22519,27874,36349,14988
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
