規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.6,19,17.8,153.1,158.4,142.3,137.8,141.8,129.6,15.3,16.6,12.7
100～499人,18.5,19,17.8,151,159.5,137.4,136.3,142.3,126.7,14.7,17.2,10.7
100人以上,18.6,19,17.8,151.9,159,139.4,136.9,142.1,127.9,15,16.9,11.5
30～99人,18.3,19.2,17.1,143.4,155.9,125.2,132.6,142.6,118.1,10.8,13.3,7.1
５～29人,18.3,19.5,16.8,140.8,157,119.2,132.7,146.3,114.6,8.1,10.7,4.6
30人以上,18.5,19,17.6,148.8,158,133.8,135.4,142.3,124,13.4,15.7,9.8
５人以上,18.4,19.2,17.3,146.2,157.7,128.7,134.5,143.5,120.7,11.7,14.2,8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
