規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,18.7,154.9,141.4,13.5,14,85.8,82.9,2.9
５人以上,"鉱業,採石業,砂利採取業",17.6,141.4,127.4,14,8.4,50.4,47.2,3.2
５人以上,建設業,19,157.7,145.2,12.5,16,100.4,97.4,3
５人以上,製造業,18.1,151.9,141.1,10.8,16.4,120,111.7,8.3
５人以上,電気・ガス・熱供給・水道業,17.2,148.2,129.6,18.6,15.1,106.4,106.1,0.3
５人以上,情報通信業,18,156.1,135.4,20.7,14.7,96.1,93.2,2.9
５人以上,"運輸業,郵便業",19.4,169.6,148.6,21,15.4,104.7,96.5,8.2
５人以上,"卸売業,小売業",19,153.7,144.1,9.6,14.9,92.3,89.9,2.4
５人以上,"金融業,保険業",18.1,151.6,135.1,16.5,15,102.3,98.6,3.7
５人以上,"不動産業,物品賃貸業",18.8,156.7,143.1,13.6,16.7,102.8,99.8,3
５人以上,"学術研究,専門・技術サービス業",18.2,154.7,136.4,18.3,13.8,93.4,91.6,1.8
５人以上,"宿泊業,飲食サービス業",21.3,167.3,155.7,11.6,13.9,84.1,81,3.1
５人以上,"生活関連サービス業,娯楽業",20.7,173,161,12,14.5,96,94.3,1.7
５人以上,"教育,学習支援業",18.4,139.1,132.7,6.4,9.7,51.6,50.9,0.7
５人以上,"医療,福祉",18.8,150.8,141.5,9.3,12.6,71.3,69.2,2.1
５人以上,複合サービス事業,17,144.1,131.6,12.5,14.7,96.6,94.1,2.5
５人以上,サービス業（他に分類されないもの）,18.5,153.1,139.2,13.9,14.3,84.8,81.5,3.3
30人以上,調査産業計,18.4,154,139.1,14.9,14.1,85.4,82,3.4
30人以上,"鉱業,採石業,砂利採取業",17.6,141.4,127.4,14,8.4,50.4,47.2,3.2
30人以上,建設業,18.7,156.6,141.9,14.7,15.7,111.1,108.5,2.6
30人以上,製造業,18,152.6,140.6,12,17,131.9,120.6,11.3
30人以上,電気・ガス・熱供給・水道業,17.1,148.4,129.1,19.3,15.4,108.9,108.5,0.4
30人以上,情報通信業,17.9,155.2,134.6,20.6,15.5,100,96.8,3.2
30人以上,"運輸業,郵便業",19.4,170,148,22,14.9,104.8,95.9,8.9
30人以上,"卸売業,小売業",18.7,151.3,140.8,10.5,15.9,99.2,95.6,3.6
30人以上,"金融業,保険業",18,152.3,135,17.3,14.4,97.6,94.9,2.7
30人以上,"不動産業,物品賃貸業",18.6,155.6,140.4,15.2,17.7,99.5,96.8,2.7
30人以上,"学術研究,専門・技術サービス業",18.2,157,134.8,22.2,14.8,104.4,100.8,3.6
30人以上,"宿泊業,飲食サービス業",19.7,164.4,152.8,11.6,13.5,76.4,73.7,2.7
30人以上,"生活関連サービス業,娯楽業",19.8,169,152.9,16.1,15,96.7,93.8,2.9
30人以上,"教育,学習支援業",18.4,138,131.3,6.7,8.8,44,43.4,0.6
30人以上,"医療,福祉",19,154.5,143.7,10.8,13,74.1,71.3,2.8
30人以上,複合サービス事業,17,144.6,131.3,13.3,14.9,98.6,95.8,2.8
30人以上,サービス業（他に分類されないもの）,18.2,151.1,136.1,15,14.6,85.2,81.6,3.6
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年５月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
