規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,715712,478823,438629,40194,236889,164808,159098,149247,9851,5710
100～499人,524977,404383,374230,30153,120594,128402,119298,113725,5573,9104
100人以上,611500,438151,403443,34708,173349,141334,133436,126343,7093,7898
30～99人,505537,372745,350854,21891,132792,109866,102302,98384,3918,7564
５～29人,463415,338166,323737,14429,125249,102625,98363,95828,2535,4262
30人以上,576281,416412,385964,30448,159869,124698,116976,111562,5414,7722
５人以上,545819,395294,369169,26125,150525,113866,107842,103841,4001,6024
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年７月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
