規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.4,163.1,145.8,17.3,15.1,97.6,93.4,4.2
100～499人,19.5,164.1,147.2,16.9,14.8,94.1,89.8,4.3
100人以上,19.5,163.7,146.6,17.1,14.9,95.3,91,4.3
30～99人,20.1,164.8,151.9,12.9,13.9,82.2,78.8,3.4
５～29人,20.8,170.5,159.8,10.7,14.2,85.6,83.8,1.8
30人以上,19.7,164.1,148.4,15.7,14.4,88.6,84.8,3.8
５人以上,20,165.8,151.5,14.3,14.3,87.1,84.3,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
