事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５～29人,平成17,2005,年平均,20.4,166.5,156.5,10,15.2,92.7,89.9,2.8
５～29人,平成18,2006,年平均,20.7,168.6,158.2,10.4,14.6,89,86.5,2.5
５～29人,平成19,2007,年平均,20.6,167.7,158.1,9.6,13.7,83.6,81.4,2.2
５～29人,平成20,2008,年平均,20.4,165.9,155.9,10,13.9,83.3,80.6,2.7
５～29人,平成21,2009,年平均,20.3,164.7,154.6,10.1,13.7,81.8,79.3,2.5
５～29人,平成22,2010,年平均,20.5,167.1,156.7,10.4,14,85.9,83.8,2.1
５～29人,平成22,2010,1月,18.7,151.9,142.4,9.5,13.2,81.1,79,2.1
５～29人,平成22,2010,2月,20.5,165.7,155.4,10.3,13.5,82.4,80.2,2.2
５～29人,平成22,2010,3月,20.8,169.5,158.2,11.3,13.8,84.5,82.3,2.2
５～29人,平成22,2010,4月,21.4,174.4,163.4,11,14.3,88.4,86,2.4
５～29人,平成22,2010,5月,19.4,157.3,147.5,9.8,13.8,86,83.7,2.3
５～29人,平成22,2010,6月,21.4,173,163.1,9.9,14.4,88,85.9,2.1
５～29人,平成22,2010,7月,21.3,173.7,163.1,10.6,14.5,89,87,2
５～29人,平成22,2010,8月,20.1,165.1,155.1,10,14,85.9,84,1.9
５～29人,平成22,2010,9月,20.7,168.8,158.7,10.1,14.3,87.5,85.5,2
５～29人,平成22,2010,10月,20.3,166.5,156,10.5,14.1,85.9,84,1.9
５～29人,平成22,2010,11月,20.8,170.5,159.8,10.7,14.2,85.6,83.8,1.8
５～29人,平成22,2010,12月,20.5,168.6,157.4,11.2,14.2,86.8,84.8,2
30～99人,平成17,2005,年平均,19.6,161.8,148.7,13.1,14.6,85.4,81.5,3.9
30～99人,平成18,2006,年平均,19.8,164.7,150.6,14.1,14.6,87.9,84.3,3.6
30～99人,平成19,2007,年平均,19.9,165.8,151.3,14.5,15.7,93.3,90,3.3
30～99人,平成20,2008,年平均,19.8,164.2,150.8,13.4,15.1,90.3,86.9,3.4
30～99人,平成21,2009,年平均,19.6,161.2,149,12.2,13.5,78.2,75,3.2
30～99人,平成22,2010,年平均,19.7,162.3,149.7,12.6,13.9,80.6,77.6,3
30～99人,平成22,2010,1月,18.4,151.5,139.5,12,13,75.4,72.3,3.1
30～99人,平成22,2010,2月,19,156,144.2,11.8,13.4,76.4,73.4,3
30～99人,平成22,2010,3月,20.3,166.9,154,12.9,14.1,81.8,78.7,3.1
30～99人,平成22,2010,4月,20.7,172.4,157.6,14.8,14.2,81.7,78.7,3
30～99人,平成22,2010,5月,18.7,154.2,141.6,12.6,13.6,78.8,75.7,3.1
30～99人,平成22,2010,6月,20.7,169.1,157,12.1,14.1,80.5,77.7,2.8
30～99人,平成22,2010,7月,20.7,169.2,156.5,12.7,14.3,82,79,3
30～99人,平成22,2010,8月,19.3,158.4,146.5,11.9,13.3,78.8,76.2,2.6
30～99人,平成22,2010,9月,19.8,162.7,150.7,12,14.6,83.3,80.7,2.6
30～99人,平成22,2010,10月,19.7,161.1,148.5,12.6,14,81.4,78.4,3
30～99人,平成22,2010,11月,20.1,164.8,151.9,12.9,13.9,82.2,78.8,3.4
30～99人,平成22,2010,12月,19.6,161.7,148.8,12.9,14.3,84.9,81,3.9
100～499人,平成17,2005,年平均,19.5,162.6,147.7,14.9,15.4,94.6,90.4,4.2
100～499人,平成18,2006,年平均,19.5,163.9,148.1,15.8,15.1,95.5,91.3,4.2
100～499人,平成19,2007,年平均,19.7,165.2,149.6,15.6,15.9,105.8,100.7,5.1
100～499人,平成20,2008,年平均,19.7,165.1,149.5,15.6,15.8,106.2,101.7,4.5
100～499人,平成21,2009,年平均,19.3,162.1,146.4,15.7,14.6,93.2,89.4,3.8
