産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.85,1.81,1.7,1.79
"鉱業,採石業,砂利採取業",1.87,1.96,1.87,1.96
建設業,0.93,1.59,0.91,1.89
製造業,1.72,1.67,2,1.94
電気・ガス・熱供給・水道業,9,9.38,9.77,10.19
情報通信業,1.11,1.07,1.08,1.01
"運輸業,郵便業",2.17,3.31,2.12,3.65
"卸売業,小売業",1.43,1.37,1.23,1.42
"金融業,保険業",1.64,1.33,1.55,1.45
"不動産業,物品賃貸業",1.47,1.81,1.63,1.56
"学術研究,専門・技術サービス業",1.43,1.54,1.58,1.74
"宿泊業,飲食サービス業",4.16,3.41,2.99,2.42
"生活関連サービス業,娯楽業",2.15,2.27,2.42,2.29
"教育,学習支援業",0.79,0.92,0.57,0.78
"医療,福祉",2.14,1.71,2.01,1.63
複合サービス事業,2.25,2.36,2.43,2.63
サービス業（他に分類されないもの）,2.11,1.9,2.37,2.14
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年７月分,,,,
第４表  産業別労働異動率,,,,
