事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年支給数月差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年支給月数差(か月)
30人以上,TL 調査産業計,579851,3.1,86.2,90.7,1.32,0.03,579212,-3.4,87.3,91.6,1.34,-0.09
30人以上,C 鉱業，採石業，砂利採取業,1321740,7.8,100,100,2.9,0.41,1330369,-13.5,100,100,2.82,-0.52
30人以上,D 建設業,654906,-3.2,90.7,89.7,1.66,-0.17,661873,-0.3,90.7,94.5,1.64,-0.21
30人以上,E 製造業,804166,6.2,81.8,90.3,1.35,-0.09,808445,11.3,81.5,91.5,1.36,0.11
30人以上,F 電気・ガス・熱供給・水道業,1009638,-3.4,100,100,2.33,-0.08,997146,-2.6,100,100,2.38,-0.06
30人以上,G 情報通信業,704543,0.1,90.2,94.7,1.47,-0.11,752609,1.2,83.9,92.8,1.75,-0.04
30人以上,"H 運輸業,郵便業",464301,-3.2,96.2,87.3,1.33,-0.01,461276,-6.8,96.9,89.6,1.26,-0.09
30人以上,"I 卸売業,小売業",452186,-15.9,83.9,94.1,1.19,0.06,454613,-19,89.1,95,1.16,-0.27
30人以上,"J 金融業,保険業",1003697,24.4,86.8,89.3,2.05,0.31,940072,5.1,87.5,90.1,2.1,0.11
30人以上,"K 不動産業,物品賃貸業",575388,－,90.2,95,1.36,－,584448,－,91.4,93,1.5,－
30人以上,"L 学術研究,専門・技術サービス業",790119,－,65.9,84.7,1.31,－,664615,－,74.6,84.3,1.37,－
30人以上,"M 宿泊業,飲食サービス業",146017,－,82.7,82.4,0.51,－,150207,－,84.3,82.6,0.5,－
30人以上,"N 生活関連サービス業,娯楽業",188895,－,75.1,79.1,0.77,－,255670,－,79.8,81.1,1.07,－
30人以上,"O 教育,学習支援業",699445,3,100,100,1.88,0.11,803746,2.2,89.6,93.8,2,0.02
30人以上,"P 医療,福祉",401160,10.8,100,100,1.4,0.23,410016,-4.9,100,100,1.13,-0.3
30人以上,Q 複合サービス事業,751031,5.7,100,100,1.88,0.01,767874,2.7,100,100,1.96,-0.12
30人以上,R サービス業（他に分類されないもの）,426771,－,79.6,73.7,1.33,－,414849,－,80.9,81.8,1.47,－
30人以上,"E09,10 食料品製造業、飲料・たばこ・飼料製造業",643717,-4.2,77.5,81.6,0.95,0.03,847704,5.6,80.4,87.7,1.09,0.06
30人以上,E11 繊維工業,623756,－,56.2,78.7,0.93,－,869138,－,53.3,69.5,1.07,－
30人以上,E12 木材・木製品製造業（家具を除く）,620021,9.3,63.6,75.6,1.77,0.05,741121,-8.7,63.6,75.8,2.1,-0.39
