規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,661702,784390,411834,447477,517277,305323,410258,37219,214225,267113,106511
100～499人,469157,561395,318756,364256,427050,261865,337562,26694,104901,134345,56891
100人以上,554191,664228,356601,401009,468658,279535,369667,31342,153182,195570,77066
30～99人,411272,514232,264383,308314,377371,209794,290705,17609,102958,136861,54589
５～29人,341158,428071,225686,256907,316899,177202,246508,10399,84251,111172,48484
30人以上,502079,612572,319897,367210,437220,251777,340876,26334,134869,175352,68120
５人以上,450833,557248,287202,332084,401141,225896,310824,21260,118749,156107,61306
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年７月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
