規模,産業,１人平均支給額（円）,対前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,対前年支給月数差（か月）
30人以上,調査産業計,579851,3.1,86.2,90.7,1.32,0.03
30人以上,"鉱業,採石業,砂利採取業",1321740,7.8,100,100,2.9,0.41
30人以上,建設業,654906,-3.2,90.7,89.7,1.66,-0.17
30人以上,製造業,804166,6.2,81.8,90.3,1.35,-0.09
30人以上,電気・ガス・熱供給・水道業,1009638,-3.4,100,100,2.33,-0.08
30人以上,情報通信業,704543,0.1,90.2,94.7,1.47,-0.11
30人以上,運輸業，郵便業,464301,-3.2,96.2,87.3,1.33,-0.01
30人以上,卸売業，小売業,452186,-15.9,83.9,94.1,1.19,0.06
30人以上,"金融業,保険業",1003697,24.4,86.8,89.3,2.05,0.31
30人以上,不動産業，物品賃貸業,575388,-,90.2,95,1.36,-
30人以上,学術研究，専門・技術サービス業,790119,-,65.9,84.7,1.31,-
30人以上,宿泊業，飲食サービス業,146017,-,82.7,82.4,0.51,-
30人以上,生活関連サービス業，娯楽業,188895,-,75.1,79.1,0.77,-
30人以上,教育，学習支援業,699445,3,100,100,1.88,0.11
30人以上,医療，福祉,401160,10.8,100,100,1.4,0.23
30人以上,複合サービス事業,751031,5.7,100,100,1.88,0.01
30人以上,サービス業（他に分類されないもの）,426771,-,79.6,73.7,1.33,-
30～99人,調査産業計,387864,-3.8,84.8,87.7,1.26,0.03
30～99人,"鉱業,採石業,砂利採取業",1361772,27.8,100,100,3.13,0.8
30～99人,建設業,690730,-5.4,90,88.3,1.72,-0.18
30～99人,製造業,448554,-9.9,79.1,82.6,1.17,-0.13
30～99人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,情報通信業,448513,-6.1,89.7,89.6,1.37,-0.14
30～99人,運輸業，郵便業,502952,-11.9,100,100,1.37,-0.03
30～99人,卸売業，小売業,298738,-13.2,82.1,93,1.11,0.06
30～99人,"金融業,保険業",689364,17.2,85.2,87.8,2,0.25
30～99人,不動産業，物品賃貸業,439536,-,86.9,87.1,1.23,-
30～99人,学術研究，専門・技術サービス業,479654,-,59.2,61.5,1.2,-
30～99人,宿泊業，飲食サービス業,107668,-,82.2,78.4,0.49,-
30～99人,生活関連サービス業，娯楽業,176491,-,72.8,72.1,0.76,-
30～99人,教育，学習支援業,706130,9.2,100,100,1.9,0.15
30～99人,医療，福祉,299841,12.2,100,100,1.39,0.21
30～99人,複合サービス事業,512258,-6.7,100,100,1.72,-0.07
30～99人,サービス業（他に分類されないもの）,428772,-,78.1,61.7,1.32,-
100～499人,調査産業計,560306,3.7,91.3,92.5,1.49,0.01
100～499人,"鉱業,採石業,砂利採取業",1310858,-2,100,100,2.44,-0.44
100～499人,建設業,560135,-1.6,93.8,96.1,1.41,-0.16
100～499人,製造業,674511,2.4,87.4,87.3,1.66,0.03
100～499人,電気・ガス・熱供給・水道業,1031842,-9.2,100,100,2.3,-0.15
100～499人,情報通信業,682469,-5.3,88.9,92.7,1.58,-0.08
100～499人,運輸業，郵便業,366917,-4.9,88.1,84.9,1.18,-0.01
100～499人,卸売業，小売業,523979,0.5,93.1,94.6,1.5,0.03
100～499人,"金融業,保険業",940227,38.5,94.3,97.6,2.13,0.46
100～499人,不動産業，物品賃貸業,587975,-,100,100,1.7,-
100～499人,学術研究，専門・技術サービス業,634806,-,90.8,92.6,1.55,-
100～499人,宿泊業，飲食サービス業,218222,-,89.1,92.5,0.78,-
100～499人,生活関連サービス業，娯楽業,181868,-,90.7,89.5,0.78,-
100～499人,教育，学習支援業,725048,-0.1,100,100,1.7,-0.3
100～499人,医療，福祉,442323,13.2,100,100,1.42,0.35
100～499人,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,サービス業（他に分類されないもの）,399245,-,84.8,85.8,1.32,-
500人以上,調査産業計,947483,13,94.1,93.9,2.06,0.31
500人以上,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,建設業,783918,6.2,87,80.4,1.78,0.39
500人以上,製造業,1096338,10.3,97.9,97.8,2.4,0.17
500人以上,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,情報通信業,878868,5.4,100,100,2.08,0.04
500人以上,運輸業，郵便業,688226,20.4,80.5,68.2,1.87,0.37
500人以上,卸売業，小売業,1154358,-16.6,100,100,2.2,0.24
500人以上,"金融業,保険業",1332388,24.4,87.4,83.9,2.48,0.61
500人以上,不動産業，物品賃貸業,908609,-,100,100,2.09,-
500人以上,学術研究，専門・技術サービス業,1162765,-,100,100,1.92,-
500人以上,宿泊業，飲食サービス業,Ｘ,-,Ｘ,Ｘ,Ｘ,-
500人以上,生活関連サービス業，娯楽業,372994,-,100,100,1.3,-
500人以上,教育，学習支援業,670106,-4.5,100,100,1.76,0.02
500人以上,医療，福祉,497428,-4.4,100,100,1.37,-0.1
500人以上,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,サービス業（他に分類されないもの）,573189,-,59.3,58.5,1.5,-
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年夏季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
平成22年から新しい日本標準産業分類（平成19年11月改定）による表章に変更しています。平成21年以前の旧産業分類と接続しない産業の前年比等については算出できないため、「－」と表記しています。,,,,,,,
