規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.9,19.2,18.4,155.7,160.6,145.9,141.5,144.8,134.7,14.2,15.8,11.2
100～499人,18.6,19.1,17.8,151.7,160.3,137.8,137.8,144,127.6,13.9,16.3,10.2
100人以上,18.7,19.1,18,153.5,160.4,141.1,139.4,144.4,130.5,14.1,16,10.6
30～99人,18,18.9,16.8,140.9,153.9,123.1,131.1,141.6,116.6,9.8,12.3,6.5
５～29人,18.1,19.2,16.6,138.2,154.3,117.1,131,144.5,113.2,7.2,9.8,3.9
30人以上,18.5,19,17.5,148.9,158.3,133.8,136.4,143.5,124.9,12.5,14.8,8.9
５人以上,18.3,19.1,17.2,145.5,157.1,128,134.7,143.8,120.8,10.8,13.3,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年８月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
