規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18.4,19.2,17.3,146.2,157.7,128.7,134.5,143.5,120.7,11.7,14.2,8
５人以上,"鉱業,採石業,砂利採取業",18,18.1,17.6,142.3,143.2,139,131.6,132.5,128.2,10.7,10.7,10.8
５人以上,建設業,20.2,20.4,19.1,168.7,172.2,149.1,153.9,156.3,140.7,14.8,15.9,8.4
５人以上,製造業,19.4,19.6,18.6,160.1,164.1,148,148.4,151.5,139,11.7,12.6,9
５人以上,電気・ガス・熱供給・水道業,18,18.1,17.1,153,155.3,138.7,135.1,136.6,125.8,17.9,18.7,12.9
５人以上,情報通信業,18.9,19.2,18.1,163.3,167.4,151.8,142.4,145.4,134.1,20.9,22,17.7
５人以上,"運輸業,郵便業",20.1,20.4,18.9,173.7,179.8,146.6,149.2,152.7,133.5,24.5,27.1,13.1
５人以上,"卸売業,小売業",18.8,19.6,17.7,145,156.3,128.4,137.1,147,122.6,7.9,9.3,5.8
５人以上,"金融業,保険業",19.1,19.5,18.5,156.9,162.2,149.1,142.1,145.9,136.6,14.8,16.3,12.5
５人以上,"不動産業,物品賃貸業",19.2,19.7,18,152.3,159.7,135.3,139.7,145.4,126.6,12.6,14.3,8.7
５人以上,"学術研究,専門・技術サービス業",18.8,19.1,18.2,154.5,159,146,138.5,141.4,133,16,17.6,13
５人以上,"宿泊業,飲食サービス業",16.4,17.8,15,115.1,136.9,94.5,108.5,127.5,90.6,6.6,9.4,3.9
５人以上,"生活関連サービス業,娯楽業",18.8,19.5,18,146.4,157.9,135.4,138.5,149,128.4,7.9,8.9,7
５人以上,"教育,学習支援業",14.9,15.4,14.5,107.3,111,103.3,102.9,106.2,99.4,4.4,4.8,3.9
５人以上,"医療,福祉",17.5,17.5,17.5,130.9,138.2,128.5,123.8,130.4,121.6,7.1,7.8,6.9
５人以上,複合サービス事業,18.7,19.2,17.9,150.4,157.4,136.1,140,145.1,129.5,10.4,12.3,6.6
５人以上,サービス業（他に分類されないもの）,18.2,19,17.3,140.8,153.1,127.9,129.8,139.5,119.6,11,13.6,8.3
30人以上,調査産業計,18.5,19,17.6,148.8,158,133.8,135.4,142.3,124,13.4,15.7,9.8
30人以上,"鉱業,採石業,砂利採取業",18,18.1,17.6,142.3,143.2,139,131.6,132.5,128.2,10.7,10.7,10.8
30人以上,建設業,19.8,20,18.6,168.4,171.2,150.4,151,152.8,139.3,17.4,18.4,11.1
30人以上,製造業,19.1,19.3,18.4,159.7,162.8,149.6,146.9,149.4,138.8,12.8,13.4,10.8
30人以上,電気・ガス・熱供給・水道業,17.8,17.9,17,152.5,154.8,137.6,133.7,135.2,124,18.8,19.6,13.6
30人以上,情報通信業,18.8,19.1,18,162.7,166.8,150.7,141.3,144.3,132.7,21.4,22.5,18
30人以上,"運輸業,郵便業",19.9,20.2,18.8,172,177.9,146.9,147.8,151,134.3,24.2,26.9,12.6
30人以上,"卸売業,小売業",19,19.7,18.1,147.3,157.1,132.6,138.2,146.8,125.2,9.1,10.3,7.4
30人以上,"金融業,保険業",19,19.4,18.4,156.5,161.9,148.7,140.8,144.7,135.3,15.7,17.2,13.4
30人以上,"不動産業,物品賃貸業",19.2,19.6,18.3,149.8,156.7,134.8,136.5,141.8,125.1,13.3,14.9,9.7
30人以上,"学術研究,専門・技術サービス業",18.7,18.9,18.3,157.3,159.1,152.4,137.6,139,133.7,19.7,20.1,18.7
30人以上,"宿泊業,飲食サービス業",17,18.2,15.7,123,142.9,102.4,115.7,133.4,97.4,7.3,9.5,5
30人以上,"生活関連サービス業,娯楽業",18,18.9,17.3,139.8,153.2,128.8,129.7,141.3,120.1,10.1,11.9,8.7
30人以上,"教育,学習支援業",14.9,15.3,14.3,106.5,109.3,102.8,102.3,104.9,98.9,4.2,4.4,3.9
30人以上,"医療,福祉",17.9,17.5,18,138.4,140.5,137.6,129.4,131.5,128.6,9,9,9
30人以上,複合サービス事業,18.5,18.9,17.3,149.6,155.3,132.6,138.9,142.7,127.7,10.7,12.6,4.9
30人以上,サービス業（他に分類されないもの）,17.9,18.7,17.2,138.2,150.9,127,126.6,136.2,118.2,11.6,14.7,8.8
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１２月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
