規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.7,20.2,18.9,161.8,167.9,149.6,146.6,151.1,137.6,15.2,16.8,12
100～499人,19.4,19.9,18.7,158.6,166.8,145.2,144.1,150,134.4,14.5,16.8,10.8
100人以上,19.6,20,18.8,160,167.3,147,145.2,150.5,135.7,14.8,16.8,11.3
30～99人,19.2,20.1,17.8,148.5,162.2,128.7,138.1,149.4,121.8,10.4,12.8,6.9
５～29人,19,20.1,17.5,145,161.4,123.3,137.3,151.1,119,7.7,10.3,4.3
30人以上,19.4,20,18.4,155.8,165.5,139.7,142.6,150.1,130.2,13.2,15.4,9.5
５人以上,19.3,20.1,18.1,152.3,164.3,134,140.9,150.4,126.3,11.4,13.9,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年７月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
