産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.29,1.39,1.08,1.27
"鉱業,採石業,砂利採取業",1.61,0.76,1.61,0.76
建設業,1.01,0.8,0.74,0.99
製造業,0.66,0.85,0.6,0.85
電気・ガス・熱供給・水道業,0.35,0.52,0.31,0.57
情報通信業,0.37,0.85,0.33,0.73
"運輸業,郵便業",1.83,0.98,1.86,1.02
"卸売業,小売業",0.91,1.78,0.57,1.88
"金融業,保険業",0.84,1.55,0.89,1.69
"不動産業,物品賃貸業",1.22,1.02,1.17,1.01
"学術研究,専門・技術サービス業",0.75,1.05,0.54,0.69
"宿泊業,飲食サービス業",3.22,2.34,2.2,2.27
"生活関連サービス業,娯楽業",1.9,2.14,1.44,1.59
"教育,学習支援業",0.65,0.33,0.59,0.23
"医療,福祉",1.39,1.45,1.37,0.85
複合サービス事業,2.89,1.92,3.79,2.16
サービス業（他に分類されないもの）,2.35,1.84,2.7,1.94
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１２月分,,,,
第４表  産業別労働異動率,,,,
