規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18.7,19.5,17.6,148.6,160.3,130.9,136.8,145.9,122.9,11.8,14.4,8
５人以上,"鉱業,採石業,砂利採取業",19,19.1,18.5,149.7,151.1,145.1,137.9,139,134,11.8,12.1,11.1
５人以上,建設業,20.7,20.9,19.2,173.4,177.5,150.2,157.3,160,142.1,16.1,17.5,8.1
５人以上,製造業,19.7,20,19,163.2,167.4,150.3,151.1,154.4,141.1,12.1,13,9.2
５人以上,電気・ガス・熱供給・水道業,19.2,19.3,18.7,165,166.9,152.6,143.7,144.8,136.5,21.3,22.1,16.1
５人以上,情報通信業,19.2,19.4,18.6,166.1,169.6,156.5,144.8,147.4,137.9,21.3,22.2,18.6
５人以上,"運輸業,郵便業",20.1,20.3,18.8,172.5,178.8,143.8,149.5,153.2,132.4,23,25.6,11.4
５人以上,"卸売業,小売業",18.9,19.8,17.6,145.9,158.1,129.2,138.2,148.9,123.4,7.7,9.2,5.8
５人以上,"金融業,保険業",19,19.5,18.3,157.4,163.4,148.5,141.8,146.1,135.5,15.6,17.3,13
５人以上,"不動産業,物品賃貸業",19.7,20.1,18.6,155.2,162.8,137.6,143.2,149.2,129.4,12,13.6,8.2
５人以上,"学術研究,専門・技術サービス業",19.4,19.7,18.8,159.4,164,150.4,142.7,145.7,136.7,16.7,18.3,13.7
５人以上,"宿泊業,飲食サービス業",16.2,17.7,14.9,112.1,132.9,92.9,105.9,123.9,89.2,6.2,9,3.7
５人以上,"生活関連サービス業,娯楽業",18.8,19.7,18,147.5,159.6,135.8,139.5,150.7,128.6,8,8.9,7.2
５人以上,"教育,学習支援業",17.2,17.7,16.7,123.6,127.5,119.6,118.7,122.1,115.2,4.9,5.4,4.4
５人以上,"医療,福祉",17.8,17.9,17.7,132.4,140.8,129.6,125.6,133.3,123.1,6.8,7.5,6.5
５人以上,複合サービス事業,18.3,18.6,17.8,148.9,155.8,134.5,137.9,142.7,127.9,11,13.1,6.6
５人以上,サービス業（他に分類されないもの）,18.5,19.3,17.7,143.3,155,130.4,132.3,141.4,122.2,11,13.6,8.2
30人以上,調査産業計,18.8,19.4,17.9,151.9,161.2,136.6,138.1,145.1,126.7,13.8,16.1,9.9
30人以上,"鉱業,採石業,砂利採取業",19,19.1,18.5,149.7,151.1,145.1,137.9,139,134,11.8,12.1,11.1
30人以上,建設業,20.2,20.4,18.5,171.6,175,148.6,152.6,154.8,138,19,20.2,10.6
30人以上,製造業,19.5,19.7,18.7,163.4,166.7,152.3,150,152.6,141.1,13.4,14.1,11.2
30人以上,電気・ガス・熱供給・水道業,19.1,19.2,18.5,165.7,167.7,152.2,142.9,144.1,134.7,22.8,23.6,17.5
30人以上,情報通信業,19.1,19.3,18.5,165.5,168.9,155.6,143.5,146,136.4,22,22.9,19.2
30人以上,"運輸業,郵便業",19.9,20.2,18.7,171.5,177.5,145,148.5,152,133.2,23,25.5,11.8
30人以上,"卸売業,小売業",19,19.8,17.9,148.8,159.3,134.1,139.3,148.5,126.5,9.5,10.8,7.6
30人以上,"金融業,保険業",19,19.4,18.3,157.5,163.6,148.8,140.9,145.1,134.9,16.6,18.5,13.9
30人以上,"不動産業,物品賃貸業",19.4,19.9,18.5,150.9,158.3,134.9,138.4,144.4,125.6,12.5,13.9,9.3
30人以上,"学術研究,専門・技術サービス業",19.4,19.6,18.9,163.8,166,157.8,142.7,144.4,138.1,21.1,21.6,19.7
30人以上,"宿泊業,飲食サービス業",16.8,18,15.6,119.2,137.7,100.3,112.4,128.6,95.8,6.8,9.1,4.5
30人以上,"生活関連サービス業,娯楽業",18.2,19.3,17.3,142,156.8,129.8,131,144,120.3,11,12.8,9.5
30人以上,"教育,学習支援業",17.5,17.9,17,125.2,127.8,122.1,120.7,123,117.9,4.5,4.8,4.2
30人以上,"医療,福祉",18,17.8,18.1,139.2,142.5,138,130.8,134.1,129.6,8.4,8.4,8.4
30人以上,複合サービス事業,18.5,18.7,17.6,151.1,157,133.5,139,142.8,127.6,12.1,14.2,5.9
30人以上,サービス業（他に分類されないもの）,18.2,18.9,17.6,141,153.4,129.8,129.4,138.6,121.1,11.6,14.8,8.7
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１１月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
