事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,TL 調査産業計,平成17,2005,年平均,19.8,163.2,150.1,13.1,15.1,91.3,87.6,3.7
５人以上,TL 調査産業計,平成18,2006,年平均,19.9,165.1,151.3,13.8,14.7,90.2,86.8,3.4
５人以上,TL 調査産業計,平成19,2007,年平均,20,165.8,151.8,14,14.6,89.7,86.5,3.2
５人以上,TL 調査産業計,平成20,2008,年平均,19.8,164.6,150.8,13.8,14.5,88.7,85.3,3.4
５人以上,TL 調査産業計,平成21,2009,年平均,19.6,162.2,148.8,13.4,13.8,83.2,80.3,2.9
５人以上,TL 調査産業計,平成22,2010,年平均,19.7,163.4,149.6,13.8,14.2,86.6,83.8,2.8
５人以上,TL 調査産業計,平成22,2010,1月,18.4,152.4,139.2,13.2,13.4,82,79.2,2.8
５人以上,TL 調査産業計,平成22,2010,2月,19.1,158.2,144.8,13.4,13.6,82.7,80,2.7
５人以上,TL 調査産業計,平成22,2010,3月,20.3,168.1,153.4,14.7,14.1,86.5,83.6,2.9
５人以上,TL 調査産業計,平成22,2010,4月,20.7,171.9,156.9,15,14.5,88.6,85.7,2.9
５人以上,TL 調査産業計,平成22,2010,5月,18.7,154.9,141.4,13.5,14,85.8,82.9,2.9
５人以上,TL 調査産業計,平成22,2010,6月,20.6,169.6,156.2,13.4,14.6,88.2,85.5,2.7
５人以上,TL 調査産業計,平成22,2010,7月,20.6,170.3,156.4,13.9,14.6,88.8,86.1,2.7
５人以上,TL 調査産業計,平成22,2010,8月,19.5,161.8,148.7,13.1,14,86.3,83.7,2.6
５人以上,TL 調査産業計,平成22,2010,9月,19.7,163.2,149.9,13.3,14.5,88,85.4,2.6
５人以上,TL 調査産業計,平成22,2010,10月,19.6,162.6,148.6,14,14.2,86.7,84,2.7
５人以上,TL 調査産業計,平成22,2010,11月,20,165.8,151.5,14.3,14.3,87.1,84.3,2.8
５人以上,TL 調査産業計,平成22,2010,12月,19.6,162.9,148.7,14.2,14.4,88.4,85.3,3.1
５人以上,C 鉱業，採石業，砂利採取業,平成17,2005,年平均,19.4,146.8,143.2,3.6,4,23,23,0
５人以上,C 鉱業，採石業，砂利採取業,平成18,2006,年平均,19.6,150.5,146.7,3.8,3.1,17.9,17.9,0
５人以上,C 鉱業，採石業，砂利採取業,平成19,2007,年平均,19.8,159.8,144.5,15.3,13.7,64.4,64.3,0.1
５人以上,C 鉱業，採石業，砂利採取業,平成20,2008,年平均,19.6,158.5,144.2,14.3,13.5,60.6,60,0.6
５人以上,C 鉱業，採石業，砂利採取業,平成21,2009,年平均,18.8,148.9,136.3,12.6,10.6,60.9,56.2,4.7
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,19,151.3,138.2,13.1,12.6,81.8,80,1.8
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,1月,17.9,144.8,130.6,14.2,9.2,59,50.2,8.8
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,2月,17.8,143.2,129.3,13.9,8,44.2,43.2,1
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,3月,20.2,163.1,146.8,16.3,12.7,71.3,68,3.3
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,4月,19.9,160.9,145,15.9,14.3,82.4,78.7,3.7
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,5月,17.6,141.4,127.4,14,8.4,50.4,47.2,3.2
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,6月,20.6,164.4,151.1,13.3,18.9,132.3,130,2.3
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,7月,19.9,158.7,145.9,12.8,11.3,71.6,71.6,0
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,8月,19.1,151.1,139.8,11.3,12,74.8,74.8,0
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,9月,18.6,146.9,135.6,11.3,11.7,77.8,75.3,2.5
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,10月,18.8,149.2,137.2,12,18.3,125.4,125.4,0
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,11月,19,150,138.1,11.9,12.5,83.6,83.6,0
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,12月,18,142.5,131.7,10.8,13.8,94.9,94.8,0.1
５人以上,D 建設業,平成17,2005,年平均,20.7,170.3,158.2,12.1,18,132.4,127.6,4.8
５人以上,D 建設業,平成18,2006,年平均,21.1,174.5,160.7,13.8,16.9,119.9,115.9,4
５人以上,D 建設業,平成19,2007,年平均,20.9,174.3,159.5,14.8,16.3,117,113.6,3.4
５人以上,D 建設業,平成20,2008,年平均,20.7,174.2,158.3,15.9,16.1,111.9,108.3,3.6
５人以上,D 建設業,平成21,2009,年平均,20.3,171,155.4,15.6,16.9,110.9,108.7,2.2
５人以上,D 建設業,平成22,2010,年平均,20.3,170.7,156,14.7,16.9,109.2,106.4,2.8
５人以上,D 建設業,平成22,2010,1月,18.7,157.1,143,14.1,15.4,97.1,95,2.1
５人以上,D 建設業,平成22,2010,2月,20.2,171.2,155.4,15.8,16.8,108.7,106.8,1.9
５人以上,D 建設業,平成22,2010,3月,20.9,177.5,161.9,15.6,17.7,111.8,108.7,3.1
５人以上,D 建設業,平成22,2010,4月,21.1,178.3,163.7,14.6,17.4,108.1,106.5,1.6
５人以上,D 建設業,平成22,2010,5月,19,157.7,145.2,12.5,16,100.4,97.4,3
５人以上,D 建設業,平成22,2010,6月,21.1,175.7,162.8,12.9,17.4,113.6,110.3,3.3
５人以上,D 建設業,平成22,2010,7月,21.3,177.6,163.6,14,17.5,115.1,111.4,3.7
５人以上,D 建設業,平成22,2010,8月,20,168.6,154,14.6,17,114.1,111.2,2.9
