規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,97.2,－,108.8,96,105.6,87.1,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,98.9,1.7,106.6,96.9,106.2,105.4,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,1.1,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
５人以上,平成18,2006,年平均,99.7,-0.3,101.5,98.5,99.3,99.7,99.3,100,102.2,97.1,－,－,－,－,100.6,103.1,100.8,－
５人以上,平成19,2007,年平均,99.6,-0.1,102.4,99.4,98.5,99.3,101.6,101.7,101.3,98.8,－,－,－,－,96.8,106.2,99.5,－
５人以上,平成20,2008,年平均,99.4,-0.2,105.4,98.7,99.5,102.5,104.1,103.9,103.1,100,－,－,－,－,91.9,106.8,109.6,－
５人以上,平成21,2009,年平均,98.6,-0.8,107.8,99.2,98,105.5,105.1,103,102.2,98.8,－,－,－,－,90,108.6,110.7,－
５人以上,平成21,2009,8月,98.7,-0.3,104.5,98.1,98,103.5,105.1,102.4,103.4,99.7,－,－,－,－,87.3,109,109.6,－
５人以上,平成21,2009,9月,98,-1,104.8,101,97.9,105.9,104.6,103.8,101.3,98.3,－,－,－,－,88.2,110,108.7,－
５人以上,平成21,2009,10月,98.3,-0.6,106.2,98.8,97.6,108.2,104.1,101.4,100.4,98.2,－,－,－,－,89.9,109.8,120.7,－
５人以上,平成21,2009,11月,98.3,-0.2,102.7,98.6,98.2,105.4,105,102.1,102,99.1,－,－,－,－,87.3,109.3,107.4,－
５人以上,平成21,2009,12月,98.7,0.4,102.5,98.3,98.2,104.1,105.7,103.9,103,99.7,－,－,－,－,88.2,108.2,108.4,－
５人以上,平成22,2010,1月,97.8,0,106.4,95.9,97.3,105.2,105.9,99.7,104.8,99.2,－,－,－,－,89.5,112,110.2,－
５人以上,平成22,2010,2月,98.3,-0.5,107.7,96.4,100.5,105.3,104.8,104,103.1,100.4,－,－,－,－,91.7,111.1,108.8,－
５人以上,平成22,2010,3月,100,0.2,108.3,98.4,100.1,108.5,107.6,104.7,105,101,－,－,－,－,98.4,109.5,113.2,－
５人以上,平成22,2010,4月,100.7,0.5,112.1,97.3,101.9,107.8,106.6,104.9,106,102.4,－,－,－,－,97.5,112.3,113.8,－
