規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,461686,533115,314637,451694,521559,307865,416254,35440,9992,11556,6772
100～499人,385329,453119,276025,367406,432615,262263,341855,25551,17923,20504,13762
100人以上,418870,489974,291504,404431,473592,280544,374536,29895,14439,16382,10960
30～99人,319209,390491,216189,310571,380668,209262,292288,18283,8638,9823,6927
５～29人,262672,324479,180418,258587,319092,178066,248249,10338,4085,5387,2352
30人以上,382528,455572,261692,370204,441458,252328,344544,25660,12324,14114,9364
５人以上,344297,416211,233421,334601,404718,226496,313828,20773,9696,11493,6925
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年９月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
