規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1136184,1364170,668734,452313,523311,306743,413685,38628,683871,840859,361991
100～499人,847672,1006700,593060,365480,431724,259420,337293,28187,482192,574976,333640
100人以上,973752,1170694,623198,403426,473741,278267,370677,32749,570326,696953,344931
30～99人,669573,840939,422384,315290,386068,213196,296822,18468,354283,454871,209188
５～29人,445437,558305,295002,257816,317871,177772,246258,11558,187621,240434,117230
30人以上,862959,1056686,543937,371324,443429,252584,343777,27547,491635,613257,291353
５人以上,729534,906513,457402,335051,405596,226578,312613,22438,394483,500917,230824
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
