規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.7,19.1,18,154.7,159.9,143.9,139.1,142.8,131.5,15.6,17.1,12.4
100～499人,18.5,19,17.7,151.3,159.9,137.1,136.7,142.9,126.5,14.6,17,10.6
100人以上,18.6,19.1,17.9,152.7,159.9,139.8,137.7,142.9,128.5,15,17,11.3
30～99人,18.4,19.3,17.3,143.7,156,126.5,133.2,142.9,119.6,10.5,13.1,6.9
５～29人,18.2,19.2,16.8,139.2,154.6,118.9,131.6,144.5,114.6,7.6,10.1,4.3
30人以上,18.6,19.1,17.6,149.5,158.6,134.5,136.1,142.9,124.9,13.4,15.7,9.6
５人以上,18.4,19.2,17.4,146.1,157.4,129,134.6,143.4,121.3,11.5,14,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
