規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,509827,483677,442398,41279,26150,162012,159794,148957,10837,2218
100～499人,417651,405715,374535,31180,11936,117135,116427,111341,5086,708
100人以上,459282,440926,405185,35741,18356,132201,130986,123969,7017,1215
30～99人,389330,376341,353794,22547,12989,100718,99666,96209,3457,1052
５～29人,346308,339047,323801,15246,7261,96888,96536,93945,2591,352
30人以上,435554,419019,387753,31266,16535,116264,115131,109916,5215,1133
５人以上,411511,397474,370524,26950,14037,106554,105813,101913,3900,741
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１０月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
