規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18,151.4,135.5,15.9,13.9,88.2,84.3,3.9
100～499人,18.3,154.5,138.6,15.9,14.4,91.2,87.7,3.5
100人以上,18.2,153.1,137.2,15.9,14.2,90.1,86.5,3.6
30～99人,18.4,151.5,139.5,12,13,75.4,72.3,3.1
５～29人,18.7,151.9,142.4,9.5,13.2,81.1,79,2.1
30人以上,18.3,152.5,137.9,14.6,13.6,82.8,79.4,3.4
５人以上,18.4,152.4,139.2,13.2,13.4,82,79.2,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
