規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,6915738,4189331,2726407,88926,42964,45962,96372,45177,51195,6908292,4187118,2721174,22.3,12.6,37.2
５人以上,"鉱業,採石業,砂利採取業",2114,1655,459,34,33,1,16,16,0,2132,1672,460,0.4,0.4,0.2
５人以上,建設業,316478,268652,47826,3193,2624,569,2528,2109,419,317143,269167,47976,2.9,1,13.8
５人以上,製造業,678547,510573,167974,4457,2678,1779,5791,3816,1975,677213,509435,167778,7.1,3.1,19.5
５人以上,電気・ガス・熱供給・水道業,34557,29834,4723,121,115,6,178,161,17,34500,29788,4712,2.1,1.9,3
５人以上,情報通信業,729803,534460,195343,2691,1504,1187,6199,3694,2505,726295,532270,194025,3.1,1.2,8.5
５人以上,"運輸業,郵便業",367107,300164,66943,6726,4642,2084,3613,2578,1035,370220,302228,67992,11.9,9.1,24.5
５人以上,"卸売業,小売業",1472144,877292,594852,13465,6902,6563,26227,12707,13520,1459382,871487,587895,26.2,13.9,44.4
５人以上,"金融業,保険業",374357,223080,151277,3136,1543,1593,5809,3233,2576,371684,221390,150294,4.9,1.7,9.6
５人以上,"不動産業,物品賃貸業",175139,122211,52928,2139,991,1148,1793,1101,692,175485,122101,53384,18.4,12.2,32.5
５人以上,"学術研究,専門・技術サービス業",346848,228751,118097,2598,1128,1470,3658,1507,2151,345788,228372,117416,6.7,2.4,15.1
５人以上,"宿泊業,飲食サービス業",627993,304028,323965,20215,11761,8454,14676,6157,8519,633532,309632,323900,70.4,56.5,83.7
５人以上,"生活関連サービス業,娯楽業",197029,96893,100136,3745,1238,2507,4212,2156,2056,196562,95975,100587,34.3,24.9,43.2
５人以上,"教育,学習支援業",377939,195280,182659,2461,1143,1318,1233,412,821,379167,196011,183156,31.3,23.8,39.3
５人以上,"医療,福祉",512187,124608,387579,7131,1786,5345,7447,1392,6055,511871,125002,386869,30.2,23.2,32.5
５人以上,複合サービス事業,56464,38187,18277,1633,109,1524,1083,131,952,57014,38165,18849,17,7.5,36.2
５人以上,サービス業（他に分類されないもの）,647032,333663,313369,15181,4767,10414,11909,4007,7902,650304,334423,315881,25.4,16.1,35.1
30人以上,調査産業計,4707581,2929862,1777719,50969,23604,27365,59799,30893,28906,4698751,2922573,1776178,16.8,8.9,29.7
30人以上,"鉱業,採石業,砂利採取業",2114,1655,459,34,33,1,16,16,0,2132,1672,460,0.4,0.4,0.2
30人以上,建設業,194572,168468,26104,1444,1269,175,1923,1719,204,194093,168018,26075,1.6,0.6,8.2
30人以上,製造業,512732,393161,119571,3098,1847,1251,4358,3351,1007,511472,391657,119815,5.6,2.8,14.9
30人以上,電気・ガス・熱供給・水道業,31304,27125,4179,97,91,6,178,161,17,31223,27055,4168,2,1.8,3
30人以上,情報通信業,625834,463935,161899,2056,1381,675,4597,2934,1663,623293,462382,160911,2.4,0.7,7.3
30人以上,"運輸業,郵便業",288806,233795,55011,5371,3677,1694,2932,2162,770,291245,235310,55935,11.4,9.5,19.5
30人以上,"卸売業,小売業",872364,526283,346081,4989,2708,2281,16413,8925,7488,860940,520066,340874,20.9,8.7,39.5
30人以上,"金融業,保険業",317406,185656,131750,2814,1495,1319,5374,2914,2460,314846,184237,130609,4.9,1.8,9.3
30人以上,"不動産業,物品賃貸業",109944,74784,35160,1284,688,596,1113,702,411,110115,74770,35345,18.2,11.2,33.1
30人以上,"学術研究,専門・技術サービス業",224086,164622,59464,1219,685,534,1537,1020,517,223768,164287,59481,4.2,2.2,9.7
30人以上,"宿泊業,飲食サービス業",221303,112206,109097,4873,2315,2558,5028,1991,3037,221148,112530,108618,56.6,40.6,73.2
30人以上,"生活関連サービス業,娯楽業",101225,45846,55379,1458,670,788,1609,484,1125,101074,46032,55042,37.5,23.6,49.1
30人以上,"教育,学習支援業",288431,162191,126240,1704,860,844,671,353,318,289464,162698,126766,27.6,22,34.9
30人以上,"医療,福祉",352947,93416,259531,4829,1511,3318,2985,1044,1941,354791,93883,260908,24.8,21.5,26
30人以上,複合サービス事業,41213,31008,10205,1561,83,1478,891,29,862,41883,31062,10821,16.2,8.7,37.8
30人以上,サービス業（他に分類されないもの）,523300,245711,277589,14138,4291,9847,10174,3088,7086,527264,246914,280350,27.5,19.1,34.9
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１２月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
