規模,産業,１人平均支給額（円）,対前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,対前年支給月数差（か月）
30人以上,調査産業計,579212,-3.4,87.3,91.6,1.34,-0.09
30人以上,"鉱業,採石業,砂利採取業",1330369,-13.5,100,100,2.82,-0.52
30人以上,建設業,661873,-0.3,90.7,94.5,1.64,-0.21
30人以上,製造業,808445,11.3,81.5,91.5,1.36,0.11
30人以上,電気・ガス・熱供給・水道業,997146,-2.6,100,100,2.38,-0.06
30人以上,情報通信業,752609,1.2,83.9,92.8,1.75,-0.04
30人以上,運輸業，郵便業,461276,-6.8,96.9,89.6,1.26,-0.09
30人以上,卸売業，小売業,454613,-19,89.1,95,1.16,-0.27
30人以上,"金融業,保険業",940072,5.1,87.5,90.1,2.1,0.11
30人以上,不動産業，物品賃貸業,584448,-,91.4,93,1.5,-
30人以上,学術研究，専門・技術サービス業,664615,-,74.6,84.3,1.37,-
30人以上,宿泊業，飲食サービス業,150207,-,84.3,82.6,0.5,-
30人以上,生活関連サービス業，娯楽業,255670,-,79.8,81.1,1.07,-
30人以上,教育，学習支援業,803746,2.2,89.6,93.8,2,0.02
30人以上,医療，福祉,410016,-4.9,100,100,1.13,-0.3
30人以上,複合サービス事業,767874,2.7,100,100,1.96,-0.12
30人以上,サービス業（他に分類されないもの）,414849,-,80.9,81.8,1.47,-
30～99人,調査産業計,393391,-12.3,85.9,89.5,1.27,-0.11
30～99人,"鉱業,採石業,砂利採取業",1233205,-13.1,100,100,2.88,-0.49
30～99人,建設業,670576,-12,89.9,88.7,1.67,-0.26
30～99人,製造業,420657,19.3,77.1,81.1,1.21,0.17
30～99人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,情報通信業,516733,-5,82.1,85.8,1.67,-0.04
30～99人,運輸業，郵便業,432342,-17.6,100,100,1.25,-0.13
30～99人,卸売業，小売業,301565,-26.4,88,94.9,1.08,-0.34
30～99人,"金融業,保険業",897845,17.2,85.7,84.7,2.12,0.11
30～99人,不動産業，物品賃貸業,482620,-,91.2,90.6,1.42,-
30～99人,学術研究，専門・技術サービス業,548079,-,68.8,71.1,1.31,-
30～99人,宿泊業，飲食サービス業,110963,-,84.1,81.5,0.48,-
30～99人,生活関連サービス業，娯楽業,297327,-,77.3,72.5,1.11,-
30～99人,教育，学習支援業,750726,3.3,88.9,90.7,2,0.02
30～99人,医療，福祉,234778,-16.7,100,100,1.05,-0.36
30～99人,複合サービス事業,541948,-8.8,100,100,1.78,-0.21
30～99人,サービス業（他に分類されないもの）,384927,-,79,81.9,1.51,-
100～499人,調査産業計,576661,-0.2,93,93.6,1.52,-0.03
100～499人,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,建設業,585310,4.7,93.5,97.4,1.48,-0.11
100～499人,製造業,742112,15.6,95,93.5,1.56,-0.01
100～499人,電気・ガス・熱供給・水道業,990966,-4.4,100,100,2.27,0.02
100～499人,情報通信業,763396,-0.7,86.7,92.9,1.85,-0.09
100～499人,運輸業，郵便業,400923,0.9,90.5,87.5,1.27,0.04
100～499人,卸売業，小売業,515643,3.1,95.5,95.6,1.47,0.06
100～499人,"金融業,保険業",808075,0,94.2,93.1,1.99,0.11
100～499人,不動産業，物品賃貸業,622751,-,92.4,95.9,1.75,-
100～499人,学術研究，専門・技術サービス業,606815,-,97.4,98.8,1.51,-
100～499人,宿泊業，飲食サービス業,216242,-,88.9,90.2,0.74,-
100～499人,生活関連サービス業，娯楽業,182848,-,95.2,92.7,0.84,-
100～499人,教育，学習支援業,871607,-0.1,95.1,97,1.98,0.07
100～499人,医療，福祉,521779,0.7,100,100,1.57,0.08
100～499人,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
